book_id,title,feedback,total_friend_reviews,avg_friend_rating,mike_rating
1130,National Geographic Readers: Koalas,4.6,6,4.4,3.9
97604,Just a Mess (Little Critter) (Look-Look),4.5,7,4.6,3.3
5203,My Life as a Book (The My Life series),4.5,7,4.3,3.9
18806,NEW LISTINGStillwater Trout by John Merwin,4.2,10,4.2,4.4
21559,Animal-Speak: The Spiritual & Magical Powers of Creatures Great & Small,4.9,10,3.5,4.2
27559,A Primates Memoir,4.1,6,4.0,3.9
28633,Chato's Kitchen,4.7,8,4.8,4.2
29819,Llama Llama Holiday Drama,4.3,8,4.2,3.7
39186,Birds (National Audubon Society First Field Guides),4.5,15,2.4,4.3
58022,Llama Llama Red Pajama,4.8,10,4.6,4.2
58085,Swimmy,4.9,8,5.0,4.6
72863,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants [Dog Man #6],4.1,12,3.3,3.8
74084,Goodnight Moon,4.5,12,3.4,4.5
80991,Pet Show! (Picture Puffins),4.5,5,3.5,3.9
82851,Cod: A Biography of the Fish that Changed the World,4.0,8,4.3,3.3
84172,"Pete the Cat: Trick or Pete , Dean, Kimberly",4.6,6,4.5,3.6
84675,Throw the Damn Ball: Classic Poetry by Dogs,4.1,6,4.2,4.0
86243,A Whale of the Wild,4.4,10,4.3,4.1
92877,Love That Dog,4.4,8,2.1,3.0
101107,Zen Ties,4.4,5,4.2,4.2
109586,The Story of Ferdinand,4.2,5,4.3,3.8
119116,The Ugly Duckling (Caldecott Honor Book),4.7,5,5.0,4.2
126892,UFO Cow Abduction: Beam Up Your Bovine (with Light and Sound!),4.0,6,4.1,4.0
135676,Echo's Lucky Charm (Dolphin School #2),4.6,13,4.6,4.4
142514,Sam and the Firefly,4.3,6,4.3,4.5
144223,The Berenstain Bears and the Christmas Angel (Berenstain Bears/Living),4.5,15,4.7,4.4
145880,Stablemates: Lucky,4.5,15,4.9,5.0
163752,"I Went Walking; A Voyager/Hbj Book - 0152380116, Sue Williams",4.2,5,4.3,4.3
170925,How Animals Care for Their Babies (Books for Young Explorers),4.4,6,3.9,3.2
175921,Spot's Christmas,4.4,14,4.6,4.4
177302,"NEW LISTINGLogolounge Master Library, Volume 2: 3000 Animal and Mythology Logos",4.3,6,4.2,4.3
189942,Champ,4.3,2,3.7,3.8
191897,Who Would Win Rhino vs. Hippo,4.5,9,4.6,4.2
192051,That's Not My Penguin (Touchy-Feely Board Books),4.0,8,4.0,3.4
192304,The Call of the Wild,3.8,6,3.6,3.7
218724,"Adult Coloring Books: Animal Mandala Designs and Stress Relie... by Summer, Jade",4.3,13,4.5,4.9
220039,Animals in Winter (Let's-Read-and-Find-Out Science),4.5,6,2.8,2.9
