shop_name,item_num,join_time,shop_id
0 -EwMG1YSQZOLN,9169,Jan-13,1
0 0mHhS7YMhfrqk ,1205,Oct-09,2
0 3A5Wt,265,May-04,3
0 5BOhQxfZKw4L3MFb,2340,Apr-18,4
0 75ONZ,9096,Dec-03,5
0 7hsM4Cwk4YM,6085,Jun-11,6
0 8qXrRs9,551,Feb-07,7
0 9w_-cex7VA0N,2464,Oct-18,8
0 a68fHKdJOeKndN,9292,Aug-08,9
0 b2ECqGFAF-EbU,3355,Nov-11,10
0 BxIHzanag6fad4FI,1910,Sep-13,11
0 by0_QKKsoH,7145,Feb-04,12
0 D4Mwje34,3560,Mar-22,13
0 G-BFtAvxv,3721,Jun-01,14
0 g6PWKn6S9iRCdkk,3071,Apr-21,15
0 i6XkzHwiLD-54Ep,1787,Jul-20,16
0 igHhBpwoJir,3625,Jul-18,17
0 Ijt 23zaz2Y3I8,1544,Feb-11,18
0 mTew3V5dGM,7843,Jan-19,19
0 NdKeUUzF,5024,Sep-01,20
0 nY9BwQWw,8036,Feb-09,21
0 O4vZPAyhyEL,2691,Mar-08,22
0 PeiJzT,6646,Jan-02,23
0 pFryNvhv1DpiY,6660,Aug-18,24
0 R Lwu0,6502,May-16,25
0 uK3Zsz6qUav0Ck,7801,Jul-11,26
0 vaM_ 0MGJ4-WyBRT,3081,Oct-18,27
0 YJ_StOeLblxr,787,Mar-10,28
0 YpBnhxeErGGKpieb,4920,Oct-19,29
0 z2QCvj9XwUgzQe,5330,Mar-14,30
0_0tWp8,9369,Nov-11,31
0_6M--N8Pqg8vlDD5_,9978,Jan-07,32
0_6QAs3Bg7C2ZH79F_,3070,Jun-22,33
0_6Uv e2Nli,4070,Sep-12,34
0_7ckmz et4zWFWC,8163,Mar-03,35
0_biH7s,7159,Dec-00,36
0_Bqi5H-QJAt,718,May-03,37
0_cU26jqk,1943,Oct-21,38
0_e1FXvxaN,2853,Apr-19,39
0_e8MMEw2HlHI4me,5460,Mar-17,40
0_EXfYuCeuL2r6V6,7911,Oct-04,41
0_Fv9wlZU,2813,May-08,42
0_g BaO5PJlBd7p,4310,Jul-20,43
0_gyoeC,8691,Sep-06,44
0_HMv5U0W,6624,Oct-08,45
0_IiH5PM2K,2163,Dec-20,46
0_kkaXYlNW,5060,Jul-16,47
0_nhL25,3279,Jan-20,48
0_oT00lNHSV,3,Nov-08,49
0_pJAaO6Nqfz,3064,Feb-08,50
0_q89K-K_DapA0,4769,Jun-02,51
0_QrX7siVP4q,7650,Oct-16,52
0_R8QHH576HnZqo,3579,Mar-07,53
0_SLL_msHuJ,6838,Jul-00,54
0_tKnNzlKL 7,5658,Apr-19,55
0_to7vBh8E4,6524,Apr-04,56
0_v7wQAKlMH,4597,Dec-07,57
0_wycheeA-FoCVWZo,5931,Jan-16,58
0_wyrZQ4H,2223,Nov-01,59
0-0hIGalAk,1891,Sep-11,60
0-39UZOg,4231,Sep-05,61
0-4dQaBb61Pga,5901,Nov-04,62
0-8pa9eT-r1SUcMGb,7628,Feb-17,63
0-cwRpM,4765,Feb-03,64
