to_userId,from_userId,relation
1672,3706,review
3465,3501,review
3538,2963,review
3626,936,follow
2920,3203,review
283,1919,follow
1801,2066,review
606,1999,follow
1424,1406,like
345,1882,like
3497,1178,review
2775,1456,follow
3675,1178,follow
3117,3379,review
1214,276,like
134,1773,review
2419,3252,follow
1362,99,review
2870,2973,follow
3495,877,follow
1767,3082,follow
1162,2968,review
2015,2727,follow
1385,2427,review
403,717,follow
1504,2562,review
2457,1671,like
3723,2132,like
2065,1217,review
1408,2086,like
708,293,like
511,2083,like
1516,725,follow
1072,1448,like
3584,823,like
298,2052,review
3076,1897,review
3424,1503,follow
277,1943,follow
1564,2802,like
364,3336,follow
1579,2351,follow
1759,1894,like
3532,1961,review
2061,3742,follow
3082,1488,review
2654,3570,review
498,2513,follow
2103,1826,review
1688,1290,follow
2813,2286,review
1493,1730,like
1254,142,like
1380,499,like
800,2469,follow
3206,1387,review
2246,2762,follow
139,419,like
64,688,review
826,2647,follow
2055,2971,follow
1700,1520,like
2304,485,like
1811,102,follow
832,52,follow
1205,1309,like
1722,1969,follow
1048,1481,like
1600,344,like
2168,104,review
2609,3243,like
82,230,like
3310,812,review
1118,3062,review
935,461,like
1660,3504,like
2430,87,review
667,1868,like
1113,629,review
606,1886,follow
687,466,follow
1378,123,follow
1776,3460,review
2142,2555,like
3035,2473,follow
221,403,like
44,2675,review
1208,2894,follow
691,1531,like
1764,1102,review
3253,1457,review
1191,1949,review
595,48,review
2375,1519,like
198,1798,like
2170,1213,like
710,739,like
576,1829,review
988,1159,review
2683,3448,follow
2303,2136,like
819,2427,follow
371,197,review
3522,1583,like
3681,2065,review
1624,3485,like
2119,1859,review
1226,2484,review
2143,1032,like
3269,2508,review
2987,1373,review
320,3410,like
2811,1938,like
3539,969,follow
3087,1926,like
772,3111,follow
300,1057,follow
165,637,follow
2106,2857,review
3726,759,follow
2157,1575,follow
1126,522,like
3138,1072,review
2078,57,review
3562,1503,like
3434,1977,like
1429,1895,follow
1319,3426,like
3616,1289,review
1996,2243,like
1778,827,like
3134,3721,follow
2706,853,review
3024,1605,review
3473,1735,follow
2165,157,follow
3302,2935,review
1855,870,like
1167,1815,follow
200,3093,review
3325,748,review
3319,3276,review
3567,1814,follow
906,405,like
1622,652,like
693,801,follow
232,1385,like
748,2286,review
2599,3028,like
974,3245,follow
3263,176,follow
3418,1854,review
50,753,review
1933,2479,follow
3526,954,like
1055,2427,like
1221,2236,like
603,1456,review
3166,2824,review
2708,1199,follow
1247,3698,review
1516,1491,review
2097,1588,review
281,1254,follow
2090,3493,review
1667,2465,follow
1063,2194,follow
3269,799,review
669,1885,follow
2262,2442,review
3285,1575,like
310,14,follow
1428,772,review
429,3117,review
555,3660,follow
2786,1263,like
341,1956,like
445,1742,like
497,1006,review
1459,698,like
3197,2694,follow
3258,2986,follow
1507,1574,review
3534,410,like
43,1037,review
326,2295,review
1457,2931,review
2157,1100,like
3447,3013,like
1947,242,review
967,2382,review
3373,1933,follow
183,1568,review
1621,1646,review
1396,2428,review
88,3585,like
3511,43,follow
1462,1911,like
3376,2675,follow
1193,3045,follow
1276,2346,review
1279,214,like
861,2540,like
2215,716,follow
26,627,follow
2932,2621,follow
676,1841,review
2074,1569,like
2379,2543,like
1541,2092,like
2460,237,review
3569,1441,follow
864,1835,review
1691,2270,like
1268,1055,follow
1006,2320,like
1807,666,review
2443,446,like
478,1424,like
2647,364,like
312,2619,review
224,808,review
3589,2890,review
2012,1189,review
26,646,review
2135,126,follow
2719,896,review
1249,2809,follow
1445,817,follow
2682,2619,follow
1011,857,follow
153,1855,review
2509,1381,like
1182,1060,review
777,3303,follow
2858,117,review
3317,1706,follow
2933,3142,follow
380,2212,follow
1856,326,follow
3665,46,follow
2383,3348,follow
2607,2095,review
3294,2596,like
605,181,like
87,38,follow
2174,2572,review
2195,2084,review
3357,3746,follow
145,850,follow
575,3191,review
2894,2743,like
72,1172,follow
166,1344,review
256,810,follow
962,590,like
193,2260,review
2333,1914,like
2445,1148,follow
132,2012,review
1741,870,follow
97,1940,follow
3412,946,review
1004,1626,follow
165,3308,review
3573,3715,review
1727,3359,like
3237,1228,like
2191,2749,follow
3320,1650,like
489,1757,follow
3236,2495,review
159,47,like
2823,3104,review
1693,2555,review
350,1166,like
3226,1678,follow
3740,2010,like
1390,871,follow
203,363,review
2499,3277,like
2189,2975,review
229,70,follow
3314,2378,like
2159,1337,like
701,2129,like
1191,246,review
1767,1584,review
224,1778,review
2148,939,review
2106,1607,like
909,2192,review
3364,917,review
375,2738,like
1301,3309,review
2540,3309,follow
3118,1732,like
779,3424,review
1833,326,review
2856,3243,like
4,3692,review
882,1911,review
1495,1526,follow
235,62,like
2440,3568,like
1292,845,like
1075,3217,review
1213,955,review
971,2182,like
93,2944,follow
3633,2252,review
734,827,follow
106,783,review
3008,2847,review
929,2809,follow
1366,2675,review
2089,1160,review
2375,3342,review
866,836,like
1628,2951,like
2699,968,review
2682,510,review
179,140,review
1964,1650,review
750,768,review
2355,2836,follow
3157,2996,follow
1335,2404,review
1338,1664,follow
734,3535,like
1348,649,review
1596,2071,follow
903,1202,like
3156,1571,like
1556,1662,follow
422,2929,follow
2346,2463,review
428,3335,follow
3129,91,like
2071,3049,like
320,3451,review
1004,1527,follow
1798,3566,like
906,869,review
2376,928,review
2271,206,review
625,2665,like
1302,3395,follow
554,1186,follow
2746,720,review
3148,2988,follow
2477,2745,review
1545,1424,like
1313,3057,review
3304,3120,like
3738,3515,review
638,1622,review
1141,2752,like
2234,3169,review
2967,1685,review
787,645,like
2780,2513,like
3387,2430,follow
2072,357,review
3385,1271,follow
549,853,follow
2476,1306,like
160,3475,follow
420,2977,follow
3390,1006,like
77,1605,follow
1600,2338,like
3572,3128,follow
3136,1717,like
1161,2336,review
1009,3664,follow
2583,1940,review
2830,1272,follow
802,1503,follow
1789,1276,review
874,1578,like
2884,373,review
390,3085,like
1905,619,like
577,1591,review
357,60,follow
3619,3576,review
2001,1384,review
1236,2579,like
2117,2215,like
2072,1121,follow
716,2729,like
1899,2134,follow
2770,2372,review
3330,749,follow
471,1448,follow
1036,1536,review
888,819,review
3012,3366,review
371,2367,like
1811,3397,like
1771,3087,review
1912,1308,like
166,586,review
200,2265,like
3209,2940,review
121,3295,follow
333,858,follow
402,3640,like
3050,1988,follow
2485,323,follow
2146,1449,review
293,1727,like
3522,678,review
2677,568,follow
1119,2518,follow
2290,688,follow
856,1858,follow
2419,279,like
2538,486,review
3101,1995,like
3304,3625,follow
423,12,follow
3142,862,like
2035,1459,like
2010,1221,like
1267,2275,like
1443,2731,follow
820,3569,review
1932,2377,like
2058,1947,like
736,2905,like
408,2236,like
555,2658,follow
3470,1697,like
752,2773,follow
1757,1767,like
3300,3607,review
750,2187,like
1500,3552,follow
3724,2098,follow
1690,887,review
465,109,review
1198,152,review
3208,1220,review
1670,467,follow
3570,1922,follow
564,3144,review
2383,2654,review
3233,687,review
3694,1993,like
314,914,like
423,1197,review
2774,1239,review
328,2691,review
2565,37,like
1555,2912,follow
616,3041,like
422,433,like
637,651,like
1533,3448,review
3342,281,like
746,1832,review
1291,508,like
862,626,follow
3040,3402,review
49,1948,follow
1718,1807,follow
536,334,like
410,1455,like
2732,917,review
1533,365,review
121,3242,follow
642,2152,follow
3532,1981,review
2469,376,review
1209,1870,like
2880,169,like
1942,3562,follow
3264,1162,like
3554,3590,like
3654,848,follow
3528,2657,like
271,425,follow
99,3408,review
639,1576,follow
2606,3057,like
1959,2888,follow
2125,31,review
1451,3728,review
3015,834,like
373,172,review
1584,135,review
3749,1429,like
1583,197,follow
1717,181,follow
1102,1529,like
1911,1426,like
1097,3378,review
991,1158,follow
1773,2019,review
3190,2992,review
2724,1906,review
1255,3083,follow
2093,3104,review
3522,2816,review
1365,1931,follow
1848,850,follow
1051,3465,review
1444,1227,follow
1627,970,review
2461,1190,review
1917,3662,like
872,3250,review
815,1439,review
2434,592,like
1144,2196,review
344,2356,like
1773,39,review
2999,2890,follow
1164,43,review
3031,3327,follow
2535,3752,review
2161,2942,like
1521,3330,review
3317,2933,follow
2242,1483,review
876,3292,like
2191,2367,review
1651,1348,review
982,2502,like
948,1434,review
1987,3223,follow
3660,1762,follow
2663,1772,like
2740,2573,like
493,1549,review
53,1859,review
2119,2478,like
858,2759,like
3491,650,follow
3115,2582,review
756,1131,follow
2716,682,follow
1274,3165,follow
533,2527,follow
1530,1011,review
2485,864,like
408,3738,review
174,840,like
3004,1800,review
1503,1144,like
251,2071,review
1382,886,like
2864,2259,review
2098,244,review
304,3726,follow
2476,3391,like
2665,936,follow
437,2177,like
586,3741,follow
2116,2558,like
3641,1011,like
177,594,like
274,530,review
1401,2003,follow
3204,298,review
1272,2277,follow
138,246,follow
1208,152,review
1759,1284,follow
785,3347,follow
1869,3646,like
692,1788,follow
2567,2489,review
511,257,follow
523,3718,follow
1982,34,follow
1795,752,review
1088,2732,like
3164,3439,review
274,1291,review
257,1789,review
1445,564,follow
3583,2935,like
2558,77,like
2903,2933,follow
2900,2592,review
141,904,like
2726,3474,review
2172,2192,follow
3701,1301,like
327,1986,review
2646,2575,follow
3290,2041,review
3329,2714,follow
2933,3357,review
2473,3039,follow
3261,2692,review
123,1181,review
1922,1040,like
60,3337,review
1358,27,like
769,2614,like
2430,986,like
938,614,follow
3610,2090,like
41,1147,like
1464,379,follow
77,174,review
2713,2274,follow
448,222,like
1294,2246,follow
2289,3165,like
340,1975,follow
1140,2659,follow
3090,1916,like
808,3300,review
557,2795,like
2979,623,like
3449,308,review
3083,2388,like
3310,2753,like
1956,1012,follow
117,915,follow
3661,1495,review
1520,3635,like
1726,1995,like
671,2211,follow
3406,2980,follow
1430,1523,follow
3697,3430,review
3501,2002,review
2484,1479,review
1467,997,follow
1667,3440,review
1930,3095,review
1538,1850,follow
2364,1337,review
1482,2724,like
326,2655,like
1882,711,like
1472,2900,like
1147,3131,follow
1635,399,like
1127,435,review
1246,1691,review
3142,2001,review
753,1882,review
982,3217,follow
3642,3143,follow
3586,2957,follow
632,106,follow
781,1917,follow
2903,3634,follow
656,2265,follow
2014,51,follow
202,1542,review
2191,2245,like
3251,2768,review
1676,2804,review
803,2809,follow
598,2912,follow
3758,1918,like
340,219,follow
1128,913,review
176,1390,like
3162,1895,like
675,588,follow
3371,1680,review
2795,1226,like
3369,2732,follow
1615,3238,review
162,305,like
1874,262,review
2033,2184,review
601,110,review
2365,1225,follow
3028,42,follow
1882,323,like
3141,3707,like
3380,1908,like
3087,3580,follow
3685,2164,review
2164,112,review
2431,3748,follow
2102,2775,review
699,3708,follow
2667,1067,follow
1418,3536,review
1696,2739,follow
211,3451,review
15,3568,follow
2505,3676,follow
394,2214,follow
569,1796,follow
1631,1109,review
3116,2841,like
149,2882,follow
2363,3161,review
1181,3241,follow
1439,2114,follow
3345,33,follow
3398,1555,review
2036,2897,follow
2297,403,follow
3606,3666,like
1183,3222,follow
2680,3129,like
1209,3392,like
2020,766,follow
408,3097,follow
635,1542,review
856,2210,review
3230,3466,like
2576,1306,like
601,3739,follow
2018,2851,follow
1080,1041,follow
924,1669,follow
2869,1800,review
3083,3530,review
2488,27,follow
911,2691,review
1049,3115,follow
3440,1462,like
3203,1943,like
3638,1470,review
107,488,review
2355,1130,review
2327,79,review
366,1555,like
1173,1407,like
2853,3577,follow
578,863,review
1380,2490,follow
1582,2472,like
2316,1943,like
1118,1992,like
1693,3698,follow
644,2246,like
591,67,review
3125,2614,like
2136,1635,follow
3616,1517,follow
2959,2976,review
2968,269,like
1310,558,review
569,566,like
1216,637,review
3297,2259,review
2814,301,review
2715,1769,like
1360,1771,like
2920,2764,follow
1648,1492,like
677,1918,review
2513,1851,follow
1546,1506,follow
2285,2626,follow
3069,2005,like
264,659,like
1947,695,follow
1276,2366,review
426,1976,follow
990,2114,like
3640,256,review
2429,3269,like
2121,98,follow
1820,756,review
1624,427,follow
1093,750,follow
534,1418,follow
762,1902,like
391,2668,follow
1655,3313,review
2702,2913,like
617,1350,like
2062,3608,like
3473,2031,follow
3738,1232,follow
2556,539,follow
382,506,follow
2806,2046,review
1486,1227,follow
2281,1244,review
82,3743,like
1780,852,like
2336,791,review
3453,2650,review
1519,1348,like
2482,196,follow
981,2547,like
304,213,like
2896,2506,like
357,813,follow
1650,1461,like
3755,3748,follow
2711,2321,review
1685,2883,like
1593,2518,review
2520,1348,review
3290,944,like
2854,1222,review
3473,1717,follow
3110,1873,follow
2285,410,follow
3202,2040,review
2544,1220,follow
2666,2881,follow
3230,2410,follow
3511,2831,like
727,1846,like
514,855,follow
3112,3706,follow
803,382,follow
3082,1201,like
113,161,follow
2355,1569,review
1509,1656,follow
3033,2447,follow
3036,1866,like
2623,2229,follow
2656,1727,follow
2500,1087,review
272,3500,like
2433,1047,like
450,3371,like
2171,18,follow
2547,2778,follow
624,40,follow
11,3055,like
115,1142,follow
2956,2260,review
134,3350,follow
2207,2429,review
2543,1412,like
2388,3289,like
830,1533,follow
537,2694,like
1472,1891,follow
3671,2121,review
760,2665,review
2399,3529,follow
2172,3221,follow
273,1614,like
3063,2577,like
3202,2073,review
1050,134,follow
355,2147,like
2245,2541,follow
999,1081,review
207,2269,like
2317,1297,like
2110,974,review
560,2034,like
703,2693,follow
1120,2074,like
3386,3200,follow
579,868,review
1048,1199,like
3498,564,like
2033,1280,review
137,1699,follow
2391,832,review
3555,3372,follow
3633,2356,follow
3681,556,like
979,3316,like
1040,3600,review
2425,2106,follow
682,2973,like
1953,1374,follow
2984,1709,follow
3569,2781,like
460,2171,review
1112,2571,follow
911,1695,like
2588,3178,review
2285,47,review
2547,1381,review
2769,1558,review
1458,1663,follow
2675,3757,like
244,515,review
2582,1274,follow
2465,3647,like
1356,774,like
1523,2518,like
47,1536,review
518,3092,like
151,3708,review
1102,499,review
1811,884,like
2092,692,follow
709,190,review
1659,3191,review
3625,2878,like
105,1857,review
3694,357,review
1884,1057,follow
2725,1541,review
878,2775,like
2782,791,review
3029,543,review
3029,1312,review
718,1744,follow
2958,2454,follow
3078,3665,follow
2607,3222,review
2401,718,review
3283,255,review
2256,3534,follow
1563,1641,review
1911,930,follow
1325,859,like
1071,1936,review
2643,3466,like
456,1344,like
1030,3419,follow
260,1213,follow
2784,3666,review
1259,1690,follow
184,1799,review
3097,693,like
1634,3585,follow
1182,1715,review
394,3611,like
1596,654,review
2994,2434,like
1832,3309,like
3627,2945,follow
3049,2813,review
316,1964,like
1373,2158,follow
3192,1670,like
2290,3741,follow
61,1566,review
3590,3388,review
2796,259,follow
1951,2654,like
3290,979,review
1540,129,review
590,2283,follow
1625,3329,review
2545,2154,review
1350,654,review
1309,797,follow
2960,2247,like
1100,988,review
1899,1683,review
1648,3350,review
1023,2707,review
1206,1016,like
3145,3185,follow
2069,672,like
82,2620,review
3371,2312,like
3383,2776,review
1225,2170,review
2371,3673,like
294,3507,review
1371,3178,like
1287,3507,follow
1143,3588,like
3041,854,follow
481,191,follow
2585,2418,review
3548,2954,review
1636,785,like
1786,1714,like
3123,1307,like
3057,3414,like
2816,341,follow
3741,2029,like
2488,626,review
3182,3634,review
2866,1169,review
2313,2464,like
2589,1445,like
3152,885,like
1072,2904,review
2029,2828,follow
705,3267,like
2106,3207,like
2293,2605,review
2465,147,like
1300,3011,review
2588,196,like
789,3596,review
2715,1819,review
1376,1456,review
2700,3738,like
2978,327,review
3483,365,follow
2545,3038,follow
1254,2864,follow
3182,2339,review
1586,663,follow
2785,1367,review
3720,2153,review
1846,1777,like
374,2150,follow
783,2774,review
944,411,review
3240,24,follow
2495,2936,like
3713,926,review
1800,2130,follow
1224,1032,follow
284,547,follow
461,2508,like
1898,1215,review
3679,3161,like
3022,2063,like
2495,2862,follow
2736,1938,follow
305,3014,review
2874,1935,like
2352,2485,review
1609,1478,review
304,840,review
414,2182,follow
2869,3078,follow
2518,3202,like
351,2653,like
2863,1475,like
2056,1671,follow
288,910,follow
2273,1333,review
2589,646,review
2782,167,follow
2050,3508,follow
3256,140,follow
2482,3326,follow
91,1650,like
2547,2183,follow
1399,2507,review
2157,2457,like
2536,2807,like
2512,455,review
1063,3721,like
1737,2772,follow
3592,2961,like
1844,879,like
1065,1893,follow
152,1150,like
1913,396,follow
2118,2066,like
1622,1097,like
705,1906,review
3316,3649,follow
2511,2018,follow
2827,2222,review
917,3053,like
1722,981,review
3211,580,like
3,793,review
2425,3446,like
1621,2612,review
1687,2399,review
2127,1746,like
1392,978,like
2344,824,review
1768,1862,follow
3498,132,like
3591,1066,like
143,695,like
3695,636,like
2308,873,review
3505,949,review
650,3253,review
2910,2357,follow
1428,2734,follow
351,173,review
2419,448,like
1782,2833,follow
1512,3114,review
425,1139,like
2605,3720,follow
990,745,review
2393,2207,follow
2342,805,review
2490,556,follow
2755,3717,follow
718,670,review
1962,844,follow
1903,2346,like
2435,1131,review
141,700,follow
3306,1890,follow
741,3014,review
3089,581,follow
1188,1890,like
3618,43,review
1693,3603,like
1495,3507,follow
1468,2012,follow
3401,1818,review
3434,200,follow
1286,3681,review
2479,3073,like
2968,1936,like
149,2726,review
1250,3193,review
3365,85,review
1603,2629,follow
3394,707,review
2674,866,follow
1974,3053,like
742,3518,like
2339,1028,follow
2088,3118,follow
817,1123,like
213,1913,like
1740,866,review
