affiliation_affiliation_id,affiliation_name,address
0,20/20 Speech Ltd.,Malvern UK
1,3SOFT GmbH,Erlangen Germany
2,"A-Life Medical, Inc.",San Diego CA
3,A.I. DuPont Hospital for Children,Wilmington DE
4,ABP Pvt. Ltd.,Calcutta India
5,AE Solutions,Worcestershire UK
6,AETHRA,Ancona Italy
7,"AIA Information Technology Co., Ltd.",Beijing China
8,AOL India R&D,Bangalore India
9,AT&T Bell Labs,Columbus OH
10,AT&T Bell Labs,Murray Hill NJ
11,"AT&T Bell Labs, Murray Hill NJ; Carleton University",Ottawa ON
12,"AT&T Bell Labs, Murray Hill NJ; Columbia University",New York NY
13,"AT&T Bell Labs, Murray Hill NJ; University of Toronto",Toronto ON
14,"AT&T Bell Labs, Murray Hill NJ; University of Umea",Umea Sweden
15,AT&T Interactive Research,Glendale CA
16,AT&T Labs-Research,Florham Park NJ
17,"AT&T Labs-Research, Florham Park NJ; University of Groningen",Groningen The Netherlands
18,"ATG, Inc.",Washington D.C.
19,ATP,Washington D.C.
20,ATR Human Information Processing Research Laboratories,Kyoto Japan
21,ATR Intelligent Robotics and Communcations Labs,Kyoto Japan
22,ATR Interpreting Telecommunications Research Laboratories,Kyoto Japan
23,ATR Interpreting Telephony Research Laboratories,Osaka Japan
24,ATR Knowledge Science Laboratories,Kyoto Japan
25,ATR Media Information Science Labs,Japan
26,ATR Spoken Language Communication Research Laboratories,Kyoto Japan
27,ATR Spoken Language Translation Research Laboratories,Kyoto Japan
28,"ATR Spoken Language Translation Research Laboratories, Kyoto Japan; Doshisha University",Kyoto Japan
29,"ATR Spoken Language Translation Research Laboratories, Kyoto Japan; Kobe University",Kobe Japan
30,"ATR Spoken Language Translation Research Laboratories, Kyoto Japan; Kyoto University",Kyoto Japan
31,"ATR Spoken Language Translation Research Laboratories, Kyoto Japan; Waseda University",Tokyo Japan
32,AU-KBC Research Center,Chennai India
33,AWZAR Co.,Yangon Myanmar
34,Aalborg University,Aalborg Denmark
35,Abdou Moumouni University,Niamey Niger
36,Academia Sinica,Taiwan
37,"Academia Sinica, Taiwan; Hong Kong Polytechnic University",Hung Hom Hong Kong
38,"Academia Sinica, Taiwan; National Taiwan University",Taipei Taiwan
39,"Academia Sinica, Taiwan; National Tsinghua University",Hsinchu Taiwan
40,Academy of Sciences of the Czech Republic,Czech Republic
41,Academy of Sciences of the DDR,Berlin Germany
42,Acadia University,Wolfville NS
43,Accenture Technology Labs,Chicago IL
44,Acheuron Hungary Ltd.,Szeged Hungary
45,Acorn Computers Ltd.,Cambridge UK
46,Adam Mickiewicz University,Poznan Poland
47,Addis Ababa University,Ethiopia
48,Addis Abada University,Ethiopia
49,Advanced Decision Systems,Mountain View CA
50,Advanced Research Projects Agency,Arlington VA
51,"Advanced Resource Technology, Inc.",Alexandria VA
52,Aerospace and Marine International,Aberdeenshire UK
53,Aerospatiale-CCR,France
54,,Aethys
55,,Affiliation Unknown
56,African Languages Technology Initiative,Ibadan Nigeria
57,Agency for Assessment and Application of Technology,Jakarta Indonesia
58,"AgoraNet, Inc.",Newark DE
59,Agricultural University of Athens,Athens Greece
60,Aichi Prefectural University,Aichi-Ken Japan
61,Aichi University of Education,Aichi Japan
62,Air Force Research Laboratory,Mesa AZ
63,Air Force Research Laboratory,Rome NY
64,Alakhawayn University,Ifrane Morocco
65,Alberta Research Council,Calgary AB
66,"Alias I, Inc.",Brooklyn NY
67,Alibaba Group,China
68,Amebis d.o.o.,Slovenia
69,American Management Systems,Bern Switzerland
70,American University in Cairo,Cairo Egypt
71,Amman University,Jordan
72,Amrita Institute of Technology and Science,Coimbatore India
73,Anadolu University,Turkey
74,Andhra University,Andhra India
75,Anite Systems,Luxembourg
76,Anna University,Chennai India
77,"AnswerLogic, Inc.",Washington D.C.
78,Aoyama Gakuin University,Tokyo Japan
79,AppTek Inc.,Ankara Turkey
80,Appen,Australia
81,"Apple Computer, Inc.",Cupertino CA
82,"Apple Computer, Inc., Cupertino CA; California Institute of Technology",Pasadena CA
83,Apple Technology Inc.,Japan
84,,Arab Open University
85,Arab Open University,Amman Jordan
86,Aristotle University of Thessaloniki,Thessaloniki Greece
87,Arity Corporation,Concord MA
88,Arizona State University,Phoenix AZ
89,Arizona State University,Tempe AZ
90,Army Research Laboratory,Adelphi MD
91,"Army Research Laboratory, Adelphi MD; Advanced Resources Technology, Inc.",Alexandria VA
92,Arris Pharmaceutical Corporation,San Francisco CA
93,"Arthur D. Little, Inc.",Cambridge MA
94,Artificial Intelligence Corporation,Newton Centre MA
95,Ask.com,Oakland CA
96,,Association for Computing Machinery (ACM)
97,Aston University,Birmingham UK
98,,AstraZeneca R&D
99,Athens University of Economics and Business,Athens Greece
100,"Athens University of Economics and Business, Athens Greece; Institute of Informatics and Telecommunications, National Centre for Scientific Research ï¾“DEMOKRITOSï¾”",Athens Greece
101,"Athens University of Economics and Business, Athens Greece; Research Centre â€œAthenaâ€",Athens Greece
102,Atomic Energy Commission,Fontenay-aux-Roses France
103,Atos Origin,Madrid Spain
104,Attensity Corporation,Salt Lake City UT
105,Attentio SA,Brussels Belgium
106,Auburn University,Auburn AL
107,Australia and Overseas Telecommunications Corporation,Clayton Australia
108,Australian National University,Canberra Australia
109,"Australian National University, Canberra Australia; National ICT Australia",Locked Bag Australia
110,"Australian National University, Canberra Australia; University of Melbourne, Melbourne Australia; University of Sydney",Sydney Australia
111,Austrian Academy of Sciences,Vienna Austria
112,Austrian Research Institute for Artificial Intelligence,Vienna Austria
113,Automated Language Processing Systems,Provo UT
114,Autonomous Metropolitan University,Cuajimalpa Mexico
115,Autonomous University of Barcelona,Barcelona Spain
116,Autonomous University of Madrid,Madrid Spain
117,"Autonomous University of Madrid, Madrid Spain; Tokyo Institute of Technology",Tokyo Japan
118,Autonomous University of Sinaloa,Culiacan Mexico
119,B'VITAL,Grenoble France
120,B.I.M.,Everberg Belgium
121,BAE Systems,Burlington MA
122,BBN Technologies,Cambridge MA
123,BBN Technologies,Cambridge MA; Human Language Technology Center for Excellence
124,BBN Technologies,Columbia MD
125,BCL Technologies Inc.,Santa Clara CA
126,BMW Group Research Technology,Munich Germany
127,BPPT,Indonesia
128,BSO/Research,Utrecht The Netherlands
129,BT Laboratories,Ipswich UK
130,BTC R&D Center,Hsinchu Taiwan
131,Babes-Bolyai University,Cluj-Napoca Romania
132,Baekseok University,Cheonan Korea
133,Bangor University,Bangor UK
134,Bar Ilan University,Ramat Gan Israel
135,Barry University,Miami Shores FL
136,Bashkir State University,Ufa Russia
137,Basis Technology Corp.,Cambridge MA
138,Battelle's Columbus Laboratories,Columbus OH
139,Baylor University,Waco TX
140,"BeVocal, Inc.",Mountain View CA
141,Behavior Design Corporation,Hsinchu Taiwan
142,Beijing Institute of Technology,Beijing China
143,Beijing Language and Culture University,Beijing China
144,Beijing Normal University,Beijing China
145,Beijing University of Posts and Telecommunications,Beijing China
146,"Beijing University of Posts and Telecommunications, Beijing China; Nokia (China) Research Center",Beijing China
147,Bellcore,Morristown NJ
148,"Bellcore, Morristown NJ; Columbia University",New York NY
149,Ben Gurion University of the Negev,Be'er Sheva Israel
150,Berlin-Brandenburg Academy of Sciences and Humanities,Berlin Germany
151,"Berlin-Brandenburg Academy of Sciences and Humanities, Berlin Germany; Princeton University",Princeton NJ
152,Bhrigus Software Pvt Ltd.,Hyderabad India
153,Biblioteca Nazionale Centrale di Firenze,Florence Italy
154,Bilkent University,Ankara Turkey
155,"Bilkent University, Ankara Turkey; New Mexico State University",Las Cruces NM
156,Biovista,Athens Greece
157,Birkbeck College,London UK
158,Birmingham University,Birmingham UK
159,Bitext.com,Madrid Spain
160,Bogazici University,Istanbul Turkey
161,Boston University,Boston MA
162,"Boston University, Boston MA; BBN Technologies",Cambridge MA
163,Bowdoin College,Brunswick ME
164,Bowling Green State University,Bowling Green OH
165,Brandeis University,Waltham MA
166,"Brandeis University, Waltham MA; Digital Equipment Corporation",Cambridge MA
167,"Brandeis University, Waltham MA; The MITRE Corporation",Bedford MA
168,Brattle Research Corporation,Boston MA
169,BravoBrava! LLC,Union City CA
170,Bremen University,Bremen Germany
171,Bridgewater College,Bridgewater VA
172,Brigham Young University,Provo UT
173,Brigham and Women's Hospital,Boston MA
174,"Britannica.com, Inc.",La Jolla CA
175,British Telecom Group (BT Americas),Jacksonville FL
176,British Telecom Group,England
177,British University in Dubai,Dubai UAE
178,Brno University of Technology,Brno Czech Republic
179,Brown University,Providence RI
180,"Brown University, Providence RI; SIL International",Dallas TX
181,Brunel University,Uxbridge UK
182,Bryn Mawr College,Bryn Mawr PA
183,Budapest University of Technology,Budapest Hungary
184,"Budapest University of Technology, Budapest Hungary; Humboldt University of Berlin",Berlin Germany
185,Budapest University,Budapest Hungary
186,"Budapest University, Budapest Hungary; University of Amsterdam, Amsterdam The Netherlands; Hungarian Academy of Sciences",Budapest Hungary
187,Bulgarian Academy of Sciences,Bulgaria
188,Bunker-Ramo Corporation,Canoga Park CA
189,Bureau of the Census,Washington D.C.
