author_author_id,author_name,email
0,,
1,&#269,
2,&#353,
3,&#x106,
4,&#x107,
5,&#x10D,
6,&#x110,
7,&#x130,
8,&#x131,
9,&#x141,
10,&#x159,
11,&#x17D,
12,&#x1A1,
13,&#x8D,
14,&Aacute,
15,&Aring,
16,&Atilde,
17,&Auml,
18,&Ccaron,
19,&Ccedil,
20,&Oacute,
21,&Oslash,
22,&Otilde,
23,&Ouml,
24,&Sacute,
25,&Scaron,
26,&Scedil,
27,&aacute,
28,&auml,
29,&ccaron,
30,&cedil,
31,&copy,
32,&curren,
33,&frac12,
34,&frac14,
35,&frac34,
36,&iacute,
37,&iexcl,
38,&laquo,
39,&micro,
40,&nbsp,
41,&not,
42,&ntilde,
43,&ordm,
44,&para,
45,&plusmn,
46,&quot,
47,&scaron,
48,&sect,
49,&shy,
50,&sup3,
51,&uml,
52,", &Aring",
53,", &Oslash",
54,", &Scaron",
55,", Adnan",
56,", Aiala",
57,", Alexandre",
58,", Anne",
59,", Barbora",
60,", Beno&icirc",
61,", Berfin",
62,", Bojana Dalbelo",
63,", Budiono",
64,", Cajsa",
65,", Carlos",
66,", Carolyn",
67,", Carolyn Penstein",
68,", Christopher",
69,", Dan",
70,", Drahom&iacute",
71,", Emilie",
72,", Enrique",
73,", Eva",
74,", Ga&euml",
75,", Gertrud",
76,", Gintar&egrave",
77,", Goran",
78,", Guillem",
79,", Gw&eacute",
80,", Irena",
81,", IsoQuest Inc.",
82,", Ivan",
83,", J&aacute",
84,", Jacques",
85,", Jan",
86,", Jana",
87,", Jelena",
88,", Ji&#x159",
89,", Jos&eacute",
90,", Llu&iacute",
91,", Lucie",
92,", M. Ant&ograve",
93,", Madelaine",
94,", Magda",
95,", Maja",
96,", Mariona",
97,", Marko",
98,", Marta Ruiz",
99,", Martin",
100,", Matti",
101,", Mausam",
102,", Milica",
103,", Milo&scaron",
104,", Muntsa",
105,", Nikola",
106,", Okko",
107,", Olivier",
108,", Otakar",
109,", Pavel",
110,", Petra",
111,", Petra-Maria",
112,", QuocHung-Ngo",
113,", Ranka",
114,", Revzin",
115,", Ruy",
116,", Ruy Luiz",
117,", S&aacute",
118,", SRA International",
119,", Sa&scaron",
120,", Sanna",
121,", Sebastian",
122,", Sel&ccedil",
123,", Selja",
124,", Silvie",
125,", Sina",
126,", Suryaganesh",
127,", Susanne",
128,", Svatava",
129,", TIPSTER SE/CM",
130,", Tanja",
131,", Teresa",
132,", The Annotation Group",
133,", The LOLITA Group",
134,", The PLUM Research Group",
135,", Toni",
136,", V&eacute",
137,", Viktor",
138,", Vincent",
139,", Vladim&iacute",
140,", Vladislav",
141,", Xu&#x1EA9",
142,", Yajuan",
143,", Zde&#x148",
144,", Zden&#x11B",
145,", lemao",
146,"-Gomis, Miquel",
147,-Miguel,
148,"-Rosell, Mireia",
149,A.,
150,A. R.,
151,"A. R., Balamurali",
152,"AI-Adhaileh, Mosleh Hmoud",
153,"AL Saud, Lama",
154,"ASBAYOU, Omar",
155,"Aabloo, Alvo",
156,"Aakhus, Mark",
157,"Aamot, Elias",
158,"Aarseth, Paul",
159,"Aarts, Erik",
160,"Abad, Alberto",
161,"Abad, Azad",
162,"Abaitua, Joseba",
163,"Abascal, Julio G.",
164,"Abate, Solomon Teferra",
165,"Abb, Bernd",
166,"Abbas, Qaiser",
167,"Abbes, Ramzi",
168,"Abbott, Rob",
169,"Abd El-Wahab, Mohamed",
170,"Abdalla, Rashid M.",
171,"AbdelRahman, Samir",
172,"Abdelali, Ahmed",
173,"Abdelnasser, Heba",
174,"Abdelwahab, Ahmed",
175,"Abdul Hamid, Ahmed",
176,"Abdul Kadir, Rabiah",
177,"Abdul, Mujibur",
178,"Abdul-Mageed, Muhammad",
179,"Abdul-Rauf, Sadaf",
180,"Abdul-Wahab, Mohamed",
181,"Abdulrahim, Dana",
182,"Abe, Akinori",
183,"Abe, Masahiro",
184,"Abe, Naoki",
185,"Abe, Norihiro",
186,"Abe, Shuya",
187,"Abe, Yasunori",
188,"Abe, Yoshiharu",
189,"Abeel, Thomas",
190,"Abeille, Anne",
191,"Abekawa, Takeshi",
192,"Abel, Andrea",
193,"Abel, Andrew",
194,"Abella, Alicia",
195,"Abelson, Robert P.",
196,"Abend, Omri",
197,"Abercrombie, Gavin",
198,"Aberdeen, John",
199,"Abeysinghe, Geetha",
200,"Abhishek, Abhishek",
201,"Abney, Steven",
202,"Abolhassani Chime, Zahra",
203,"Abolhassani, Hassan",
204,"Abouelenien, Mohamed",
205,"Abouenour, Lahsen",
206,"Aboutajdine, Driss",
207,"Abouzakhar, Nasser",
208,"Abowd, Gregory",
209,"Abracos, Jose",
210,"Abraham, Maryvonne",
211,"Abraham, S.",
212,"Abrahamsson, Emil",
213,"Abramova, Ekaterina",
214,"Abramowicz, Witold",
215,"Abramson, Harvey",
216,"Abramson, Martha",
217,"Abrash, Victor",
218,"Abrecht, Viktoria",
219,"Abreu, Jose I.",
220,"Abreu, JosÃ© I.",
221,"Abrusci, V. Michele",
222,"Abu-Jbara, Amjad",
223,"Abu-Salem, Hani",
224,"Abualhaija, Sallam",
225,"Abuhakema, Ghazi",
226,"Abujabal, Abdalghani",
227,"Abuleil, Saleem",
228,"Abzianidze, Lasha",
229,"Acarturk, Cengiz",
230,Aceda&nacute,
231,"Acero, Alex",
232,"Achanauparp, Palakorn",
233,"Acharya, Sudipta",
234,"Achlioptas, Dimitris",
235,"Achour, Hadhemi",
236,"Ackerman, Christopher",
237,"Ackermans, Paul",
238,"Acomb, Kate",
239,"Acosta, Jaime",
240,"Acosta, Olga",
241,"Acosta, Otavio",
242,"Acquaah-Mensah, George",
243,"Acree, Brice D. L.",
244,"Acs, Judit",
245,"Adachi, Fumihiro",
246,"Adachi, Hisahiro",
247,"Adali, Esref",
248,"Adali, KÃ¼bra",
249,"AdalÄ±, EÅŸref",
250,"Adam, Carole",
251,"Adam, Cl&eacute",
252,"Adam, ClÃ©mentine",
253,"Adams, Brian",
254,"Adams, Gary",
255,"Adams, Jeff",
256,"Adams, Keith",
257,"Adams, Maria",
258,"Adams, Oliver",
259,"Adams, Rod",
260,"Adamson, David",
261,"Adar, Eytan",
262,"Adcock, John E.",
263,"Adda, Gilles",
264,"Adda-Decker, Martine",
265,"Addanki, Karteek",
266,"Adderley, Richard",
267,"Addison, Edwin",
268,"Adegbola, Tunde",
269,"Adel, Heike",
270,"Adell, Jordi",
271,"Adhikari, Ronojoy",
272,"Adjogah, Richard",
273,"Adler, Meni",
274,"Adolphs, Peter",
275,"Adolphs, Svenja",
276,"Adorni, Giovanni",
277,"Adriaans, Pieter",
278,"Adriaens, Geert",
279,"Aduriz, Itziar",
280,"Aepli, NoÃ«mi",
281,"Afantenos, Stergos",
282,"Afendras, Evangelos A.",
283,"Afify, Mohamed",
284,"Afli, Haithem",
285,"Afroz, Sadia",
286,"Afshar, Hadi",
287,"Afzal, Naveed",
288,"Agarwal, Abhaya",
289,"Agarwal, Ankit",
290,"Agarwal, Apoorv",
291,"Agarwal, Astha",
292,"Agarwal, Basant",
293,"Agarwal, Deepak",
294,"Agarwal, Manas",
295,"Agarwal, Manish",
296,"Agarwal, Nitin",
297,"Agarwal, Rajeev",
298,"Agarwal, Sachin",
299,"Agarwal, Vipul",
300,"Agarwalla, Lalit",
301,"Agbago, Akakpo",
302,"Ageev, Mikhail",
303,"Ageno, Alicia",
304,"Agerri, Rodrigo",
305,"Aggarwal, Khushboo",
306,"Aggarwal, Nitish",
307,"Aggarwal, R. K.",
308,"Aggarwal, Srishti",
309,"Agichtein, Eugene",
310,"Agili, Andrea",
311,"Agirre, Eneko",
312,"Agirrezabal, Manex",
313,"AgiÄ‡, Å½eljko",
314,"AgnÃ¨s, FrÃ©dÃ©ric",
315,"Agrawal, Aishwarya",
316,"Agrawal, Ameeta",
317,"Agrawal, Harsh",
318,"Agrawal, Saumya",
319,"Agrawal, Siddharth",
320,"Agren, Malin",
321,"Aguado de Cea, Guadalupe",
322,"Aguiar, Pedro",
323,"Aguilar, Cesar",
324,"Aguilar, Jacqueline",
325,"Aguilar, Jacqui",
326,"Aguilera Navarro, Santiago",
327,"Agustini, Alexandre",
328,"Ah-Pine, Julien",
329,"Aha, David W.",
330,"Aharodnik, Katsiaryna",
331,"Aharoni, Ehud",
332,"Aharoni, Roee",
333,"Aharonson, Vered",
334,"Ahat, Murat",
335,"Ahlberg, Malin",
336,"Ahlsen, Elisabeth",
337,"Ahlswede, Thomas E.",
338,"Ahmad, Faisal",
339,"Ahmad, Farooq",
340,"Ahmad, Khurshid",
341,"Ahmed, Amr",
342,"Ahmed, Faisal",
343,"Ahmed, Mobyen Uddin",
344,"Ahmed, Syed Toufeeq",
345,"Ahmed, Tafseer",
346,"Ahmed, Zeeshan",
347,"Ahmidi, Narges",
348,"Ahn, Byung-Gyu",
349,"Ahn, David",
350,"Ahn, Jung-Ho",
351,"Ahn, Kisuh",
352,"Ahn, Sungjin",
353,"Ahonen-Myka, Helana",
354,"Ahrenberg, Lars",
355,"Ahrendt, Simon",
356,"Ahrens, Kathleen",
357,"Ahuja, Arun",
358,"Ai, Hua",
359,"Ai, Renlong",
360,"Aiden Lieberman, Erez",
361,"Aidinejad, Homa",
362,"Aihara, Ryo",
363,"Aijaz, Adil",
364,"Aikawa, Kiyoaki",
365,"Aikawa, Takako",
366,"Ailloud, &Eacute",
367,"Ailomaa, Marita",
368,"Aimetti, Guillaume",
369,"Ainon, Raja Noor",
370,"Airola, Antti",
371,"Aiso, Hideo",
372,"Aist, Gregory",
373,"Ait-Mokhtar, Salah",
374,"Aizawa, Akiko",
375,"Aizawa, Teruaki",
376,"Aizono, Toshiko",
377,"Ajani, Gianmaria",
378,"Aji, Ablimit",
379,"Aji, Alham Fikri",
380,"Ajjour, Yamen",
381,"Ajot, Jerome",
382,Ak&#x131,
383,"Akabe, Koichi",
384,"Akama, Hiroyuki",
385,"Akama, Seiki",
386,"Akamine, Susumu",
387,"Akasaki, Satoshi",
388,"Akbar, Mohammad",
389,"Akbik, Alan",
390,"Akegawa, Naoki",
391,"Aker, Ahmet",
392,"Akerberg, Ola",
393,"Akhmatova, Elena",
394,"Akhmedova, Shakhnaz",
395,"Akhtar, Md Shad",
396,"Akhtar, Shazia",
397,"Akhtar, Syed Sarfaraz",
398,"Akiba, Iwao",
399,"Akiba, Tomoyosi",
400,"Akiba, Yasuhiro",
401,"Akilandeswari, A.",
402,"Akiva, Navot",
403,"Akiyama, Kouji",
404,"Akkaya, Cem",
405,"Akker, Harm op den",
406,"AkkuÃ…ÂŸ, Burak Kerim",
407,"AkkuÃ…Å¸, Burak Kerim",
408,"Akoglu, Leman",
409,"Akra, Diyam",
410,"Akram, Misbah",
411,"Akram, Qurat-ul-Ain",
412,Akta&scedil,
413,"Akter, Mahzereen",
414,"AkÄ±n, Ahmet AfÅŸÄ±n",
415,"Al Boni, Mohammad",
416,"Al Kharashi, Ibrahim A.",
417,"Al Obaidli, Fahad",
418,"Al Sallab, Ahmad",
419,"Al Shehabi, Shadi",
420,"Al Sughaiyer, Imad A.",
421,"Al Tarouti, Feras",
422,"Al-Adhaileh, Mosleh Hmoud",
423,"Al-Badrashiny, Mohamed",
424,"Al-Basoumy, Husein",
425,"Al-Fares, Waleed",
426,"Al-Haj, Hassan",
427,"Al-Khalifa, Hend",
428,"Al-Khatib, Khalid",
429,"Al-Mannai, Kamla",
430,"Al-Maskari, Azzah",
431,"Al-Onaizan, Yaser",
432,"Al-Raheb, Yafa",
433,"Al-Rfou, Rami",
434,"Al-Sabbagh, Rania",
435,"Al-Saif, Amal",
436,"Al-Shalabi, Riyad",
437,"Al-Thubaity, AbdulMohsen",
438,"Al-Twairesh, Nora",
439,"AlGhamdi, Fahad",
440,"AlSalman, Abdulmalik",
441,"AlTantawy, Mohamed",
442,"Alabau, Vicent",
443,"Alabbas, Maytham",
444,"Alahverdzhieva, Katya",
445,"Alam, Hassan",
446,"Alamir-Salloum, Linda",
447,"Alamri, Abdulaziz",
448,"Alani, Harith",
449,"Alansary, Sameh",
450,"Alarfaj, Fawaz",
451,"Albacete, Patricia",
452,"Albatal, Rami",
453,"Albayrak, Sahin",
454,"Albert, Aviad",
455,"Albert, Camille",
456,"Alberti, Chris",
457,"Albrecht, Joshua",
458,"Albright, Adam",
459,"Albro, Daniel M.",
460,Alc&aacute,
461,"Alcalde, Hector Fernandez",
462,"Alcantara, Manuel",
463,"AlcÃ­var, Paulina Adriana Morillo",
464,"Aldabe, Itziar",
465,"Aldag, Bjorn",
466,"Aldaz Salmon, Javier A.",
467,"Aldebei, Khaled",
468,"Alder, Michael D.",
469,"Aldezabal, Izaskun",
470,"Alegre, Enrique",
471,"Alegre, Martha A.",
472,"Alegria, I&ntilde",
473,"Aleksic, Vera",
474,"Aleman, Yuridiana",
475,"Alemany, Laura Alonso",
476,"Alemu Argaw, Atelach",
477,"Aletras, Nikolaos",
478,"Aleven, Vincent",
479,"Alex, Bea",
480,"Alex, Beatrice",
481,"Alexander, David",
482,"Alexander, Dorcas",
483,"Alexander, James H.",
484,"Alexandersson, Jan",
485,"Alexandrescu, Andrei",
486,"Alexandropoulou, Stavroula",
487,"Alexandrov, Theodore",
488,"Alexandrov-Kabadjov, Mijail",
489,"Alexe, Bogdan",
490,"Alexin, Zoltan",
491,"Alexopoulos, Panos",
492,"Alexopoulou, Maria",
493,"Alexopoulou, Theodora",
494,"Alfonseca, Enrique",
495,"Alfter, David",
496,"Alhama, Raquel Garrido",
497,"Alhawiti, Khaled",
498,"Alhelbawy, Ayman",
499,"Ali, Aasim",
500,"Ali, Ahmed",
501,"Ali, Alnur",
502,"Ali, Mohammad Naveed",
503,"Ali, Syed S.",
504,"Ali, Wajid",
505,"Aliabadi, Purya",
506,"Alikaniotis, Dimitrios",
507,"Alink, Wouter",
508,"Alishahi, Afra",
509,"Alizadeh, Mehrdad",
510,"Alkhalifa, Musa",
511,"Alkharashi, Ibrahim",
512,"Alkhouli, Tamer",
513,"Alkhulani, Sarah",
514,"Alkuhlani, Sarah",
515,"Allan, James",
516,"Allaria, Gianluca",
517,"Allauzen, Alexander",
518,"Allauzen, Alexandre",
519,"Allauzen, Cyril",
520,"Allbeck, Jan",
521,"Allegretti, Stefani",
522,"Allegrini, Paolo",
523,"Allen, Barry A.",
524,"Allen, Colin",
525,"Allen, Eileen E.",
526,"Allen, James",
527,"Allen, James F.",
528,"Allen, Jonathan",
529,"Allen, Kelsey",
530,"Alles, Irina",
531,"Alleva, Fileno A.",
532,"Allgayer, Jurgen",
533,"Allison, Ben",
534,"Allison, Timothy",
535,"Allman, Tod",
536,"Allmuallim, Ilussein",
537,"Allport, David",
538,"Allvin, Helen",
539,"Allwood, Jens",
540,Alm&aacute,
541,"Alm, Cecilia Ovesdotter",
542,"Alm, Norman",
543,"Almas, Yousif",
544,"Almberg, J&oslash",
545,"Almeida, Mariana S. C.",
546,"Almeida, Miguel",
547,"Almeida, Miguel B.",
548,"Almeida, Virgilio",
549,"Almela, &Atilde",
550,"Almodaresi, Fatemeh",
551,"Almohimeed, Abdulaziz",
552,"Almuhareb, Abdulrahman",
553,"Alnazzawi, Noha",
554,"Aloimonos, Yiannis",
555,"Alonge, Antonietta",
556,"Alonso Alemany, Laura",
557,"Alonso, HÃ©ctor MartÃ­nez",
558,"Alonso, Miguel A.",
559,"Alonso, Rafael",
560,"Alonso, Yuan A.",
561,"Alotaibi, Fahd",
562,"Alotaiby, Fahad",
563,"Alpaslan, Ferda",
564,"Alpert-Abrams, Hannah",
565,"Alphonse, Erick",
566,"Alrajeh, Abdullah",
567,"Alsamara, Khalid",
568,"Alshawi, Hiyan",
569,"Alshikhabobakr, Hanan",
570,"Altamirano, Ivana Romina",
571,"Althaus, Ernst",
572,"Althobaiti, Maha",
573,"Altman, Eitan",
574,"Altmann, Gerry",
575,"Altmayer, Anne",
576,"Altmeyer, Randolf",
577,"Altomari, Patrick J.",
578,"Altosaar, Jaan",
579,"Altun, Yasemin",
580,"Altuwaijri, Haya",
581,Alu&iacute,
582,Alum&auml,
583,"Alumae, Tanel",
584,"AluÃ­sio, Sandra",
585,"AluÃ­sio, Sandra Maria",
586,"Alvarado, Irene",
587,"Alvarez, Alison",
588,"Alvarez, Amaury",
589,"Alvarez-De-Mon, Inmaculada",
590,"Alvarez-Melis, David",
591,"Alvarez-Pereyre, Michael",
592,"Alves, Ana",
593,"Alves, Eduardo de Paiva",
594,"Alviset, Christophe",
595,"Aly, Mohamed",
596,"Alzate Perez, Carlos",
597,"Alzate, Carlos",
598,"Alzate, Maverick",
599,"Alzghool, Muath",
600,"Aman, Saima",
601,"Amancio, Diego",
602,"Amancio, Diego Raphael",
603,"Amancio, Marcelo",
604,"Amano, Shigeaki",
605,"Amano, Shin-Ya",
606,"Amar, Muriel",
607,"Amaral, Luiz",
608,"Amaro, Raquel",
609,"Amaya, Fredy A.",
610,"Ambati, Bharat Ram",
611,"Ambati, Vamshi",
612,"Ambite, Jose Luis",
613,"Amble, Tore",
614,"Ambwani, Geetu",
615,"Amdal, Ingunn",
616,"Amengual, J. C.",
617,"Amershi, Saleema",
618,Amig&oacute,
619,"Amin, Samir K.",
620,"Amini, Aida",
621,"Amini, Massih R",
622,"Aminian, Maryam",
623,"Amiot, Dany",
624,"Amir, Amihood",
625,"Amir, Eyal",
626,"Amir, Silvio",
627,"Amiri, Hadi",
628,"Amitay, Einat",
629,"Ammar, Waleed",
630,"Amnueypornsakul, Bussaba",
631,"Amo, Pedro",
632,"Amoia, Marilisa",
633,"Amores, J. Gabriel",
634,"Amorim, Evelin",
635,"Amorrortu, Estibaliz",
636,"Amoualian, Hesam",
637,"Amri, Amine",
638,"Amsili, Pascal",
639,"Amsler, Michael",
640,"Amsler, Robert A.",
641,"Amsterdamer, Yael",
642,"Amtrup, Jan W.",
643,"An, Aijun",
644,"An, Bo",
645,"An, Joohui",
646,"An, Lawrence",
647,"Anacleto, Junia Coutinho",
648,"Anai, Hirokazu",
649,"Anand, Ashish",
650,"Anand, Avishek",
651,"Anand, Pranav",
652,"Ananiadou, Sophia",
653,"Ananthakrishnan, Sankaranarayanan",
654,"Anastasakos, Anastasios",
655,"Anastasakos, Tasos",
656,"Anastasiou, Dimitra",
657,"Anastasiu, David C.",
658,"Anastasopoulos, Antonios",
659,"Anaya-Sanchez, Henry",
660,"Anbarjafari, Gholamreza",
661,"Anberbir, Tadesse",
662,"Andersen, &Oslash",
663,"Andersen, Peggy M.",
664,"Andersen, Ã˜istein E.",
665,"Anderson, Andrew J.",
666,"Anderson, Anne H.",
667,"Anderson, Ashton",
668,"Anderson, Barbara B.",
669,"Anderson, Don D.",
670,"Anderson, John R.",
671,"Anderson, Lloyd B.",
672,"Anderson, Mike",
