author_list_paper_id,author_list_author_id,author_list_affiliation_id
D15-1001,1233,
D15-1001,9573,
D15-1001,12785,
D15-1002,1194,
D15-1002,1824,
D15-1002,6512,
D15-1002,13588,
D15-1003,7131,
D15-1003,18526,
D15-1004,10343,
D15-1004,10720,
D15-1004,19147,
D15-1005,16550,
D15-1005,16999,
D15-1006,1985,
D15-1006,3845,
D15-1006,6363,
D15-1006,6996,
D15-1006,12427,
D15-1007,1973,
D15-1007,2663,
D15-1007,5823,
D15-1007,6853,
D15-1007,17865,
D15-1007,19912,
D15-1007,20152,
D15-1008,1105,
D15-1008,16730,
D15-1009,11221,
D15-1009,13654,
D15-1009,16954,
D15-1009,19899,
D15-1009,19918,
D15-1010,8407,
D15-1010,17700,
D15-1010,18043,
D15-1010,18046,
D15-1011,7384,
D15-1011,11425,
D15-1011,12885,
D15-1012,18863,
D15-1012,19655,
D15-1012,19989,
D15-1013,6263,
D15-1014,3025,
D15-1014,16488,
D15-1015,3261,
D15-1015,8882,
D15-1015,18769,
D15-1016,1266,
D15-1016,8007,
D15-1017,1605,
D15-1017,8090,
D15-1017,17339,
D15-1018,4038,
D15-1018,19336,
D15-1019,14530,
D15-1019,15068,
D15-1019,18829,
D15-1020,2739,
D15-1020,8139,
D15-1020,10311,
D15-1020,20468,
D15-1021,4107,
D15-1021,5108,
D15-1021,5589,
D15-1021,7597,
D15-1021,12177,
D15-1021,12486,
D15-1021,18460,
D15-1022,4006,
D15-1022,5566,
D15-1022,10937,
D15-1022,12415,
D15-1022,14751,
D15-1022,18944,
D15-1023,3368,
D15-1023,16558,
D15-1023,17039,
D15-1024,15541,
D15-1024,21466,
D15-1024,21468,
D15-1025,518,
D15-1025,9727,
D15-1025,11070,
D15-1026,14907,
D15-1027,7100,
D15-1027,20024,
D15-1028,1849,
D15-1028,3338,
D15-1028,10974,
D15-1028,16948,
D15-1029,4107,
D15-1029,11932,
D15-1029,14607,
D15-1030,1985,
D15-1030,14978,
D15-1030,19955,
D15-1031,2978,
D15-1031,18857,
D15-1031,19073,
D15-1031,20421,
D15-1031,20619,
D15-1032,1493,
D15-1032,9111,
D15-1032,9607,
D15-1033,16062,
D15-1033,16177,
D15-1034,1863,
D15-1034,5682,
D15-1034,18327,
D15-1035,6550,
D15-1035,8027,
D15-1036,8248,
D15-1036,9731,
D15-1036,12110,
D15-1036,15940,
D15-1037,1985,
D15-1037,4352,
D15-1037,19963,
D15-1038,6569,
D15-1038,10458,
D15-1038,12085,
D15-1039,3368,
D15-1039,14803,
D15-1040,1682,
D15-1040,3338,
D15-1040,3425,
D15-1040,4471,
D15-1041,1096,
D15-1041,4505,
D15-1041,16730,
D15-1042,494,
D15-1042,3374,
D15-1042,5167,
D15-1042,8441,
D15-1042,18679,
D15-1043,10685,
D15-1043,20514,
D15-1044,3145,
D15-1044,15409,
D15-1044,19285,
D15-1045,3317,
D15-1045,6076,
D15-1046,6131,
D15-1046,7608,
D15-1046,20455,
D15-1047,1024,
D15-1047,2841,
D15-1047,6414,
D15-1047,8197,
D15-1047,17295,
D15-1048,6433,
D15-1048,15922,
D15-1048,16011,
D15-1049,2640,
D15-1049,12940,
D15-1049,14101,
D15-1050,331,
D15-1050,596,
D15-1050,3794,
D15-1050,8845,
D15-1050,15088,
D15-1050,16686,
D15-1051,6905,
D15-1051,7049,
D15-1051,11371,
D15-1052,5955,
D15-1052,6403,
D15-1052,8380,
D15-1053,5947,
D15-1053,13470,
D15-1053,14942,
D15-1054,7525,
D15-1054,10091,
D15-1055,12920,
D15-1055,17630,
D15-1055,17639,
D15-1056,1256,
D15-1056,11546,
D15-1056,16535,
D15-1057,11495,
D15-1057,21473,
D15-1058,2489,
D15-1058,7100,
D15-1058,14647,
D15-1059,12178,
D15-1059,12747,
D15-1059,19352,
D15-1060,1672,
D15-1060,2794,
D15-1060,3333,
D15-1060,18983,
D15-1061,7048,
D15-1061,17545,
D15-1062,5057,
D15-1062,7594,
D15-1062,19734,
D15-1062,20532,
D15-1063,5878,
D15-1063,17168,
D15-1064,4367,
D15-1064,13933,
D15-1065,11000,
D15-1065,11012,
D15-1065,20699,
D15-1066,10464,
D15-1066,10533,
D15-1066,16473,
D15-1066,16815,
D15-1066,18937,
D15-1066,20525,
D15-1067,10091,
D15-1068,1218,
D15-1068,3705,
D15-1068,5163,
D15-1068,8353,
D15-1068,12475,
D15-1068,12655,
D15-1068,12764,
D15-1069,20181,
D15-1069,20588,
D15-1070,5505,
D15-1070,12753,
D15-1071,6791,
D15-1071,13159,
D15-1072,8887,
D15-1072,17038,
D15-1072,18788,
D15-1073,18705,
D15-1073,20445,
D15-1073,20514,
D15-1074,5460,
D15-1074,12758,
D15-1075,709,
D15-1075,1977,
D15-1075,11363,
D15-1075,14344,
D15-1076,7005,
D15-1076,10254,
D15-1076,20358,
D15-1077,1022,
D15-1077,2422,
D15-1077,6501,
D15-1077,8139,
D15-1077,10334,
D15-1077,17608,
D15-1078,2946,
D15-1078,7391,
D15-1078,8139,
D15-1078,18932,
D15-1078,19026,
D15-1078,20468,
D15-1079,10722,
D15-1079,11006,
D15-1079,13659,
D15-1079,18897,
D15-1080,1068,
D15-1080,3257,
D15-1080,4826,
D15-1080,6339,
D15-1080,8860,
D15-1080,15483,
D15-1081,5349,
D15-1081,8139,
D15-1081,11111,
D15-1081,18912,
D15-1081,20590,
D15-1082,10584,
D15-1082,10730,
D15-1082,10777,
D15-1082,10945,
D15-1082,14786,
D15-1082,17314,
D15-1083,16062,
D15-1083,19800,
D15-1084,4008,
D15-1084,4800,
D15-1084,12833,
D15-1085,2989,
D15-1085,4931,
D15-1085,13499,
D15-1086,916,
D15-1086,11720,
D15-1086,18700,
D15-1087,3701,
D15-1087,12949,
D15-1088,8396,
D15-1088,14185,
D15-1088,15431,
D15-1088,18366,
D15-1089,8943,
D15-1089,15328,
