paper_paper_id,title,venue,year
A00-1001,BusTUC - A Natural Language Bus Route Oracle,NAACL,2000
A00-1002,Machine Translation Of Very Close Languages,NAACL,2000
A00-1003,Cross-Language Multimedia Information Retrieval,NAACL,2000
A00-1004,Automatic Construction Of Parallel English-Chinese Corpus For Cross-Language Information Retrieval,NAACL,2000
A00-1005,PartsID: A Dialogue-Based System For Identifying Parts For Medical Systems,NAACL,2000
A00-1006,Translation Using Information On Dialogue Participants,NAACL,2000
A00-1007,Distilling Dialogues - A Method Using Natural Dialogue Corpora For Dialogue Systems Development,NAACL,2000
A00-1008,Plan-Based Dialogue Management In A Physics Tutor,NAACL,2000
A00-1009,A Framework For MT And Multilingual NLG Systems Based On Uniform Lexico-Structural Processing,NAACL,2000
A00-1010,Talk'n'Travel: A Conversational System For Air Travel Planning,NAACL,2000
A00-1011,REES: A Large-Scale Relation And Event Extraction System,NAACL,2000
A00-1012,Experiments On Sentence Boundary Detection,NAACL,2000
A00-1013,DP: A Detector For Presuppositions In Survey Questions,NAACL,2000
A00-1014,MIMIC: An Adaptive Mixed Initiative Spoken Dialogue System For Information Queries,NAACL,2000
A00-1015,Javox: A Toolkit For Building Speech-Enabled Applications,NAACL,2000
A00-1016,A Compact Architecture For Dialogue Management Based On Scripts And Meta-Outputs,NAACL,2000
A00-1017,A Representation For Complex And Evolving Data Dependencies In Generation,NAACL,2000
A00-1018,An Automatic Reviser: The TransCheck System,NAACL,2000
A00-1019,Unit Completion For A Computer-Aided Translation Typing System,NAACL,2000
A00-1020,Multilingual Coreference Resolution,NAACL,2000
A00-1021,Ranking Suspected Answers To Natural Language Questions Using Predictive Annotation,NAACL,2000
A00-1022,Message Classification In The Call Center,NAACL,2000
A00-1023,A Question Answering System Supported By Information Extraction,NAACL,2000
A00-1024,Categorizing Unknown Words: Using Decision Trees To Identify Names And Misspellings,NAACL,2000
A00-1025,Examining The Role Of Statistical And Linguistic Knowledge Sources In A General-Knowledge Question-Answering System,NAACL,2000
A00-1026,Extracting Molecular Binding Relationships From Biomedical Text,NAACL,2000
A00-1027,Compound Noun Segmentation Based On Lexical Data Extracted From Corpus,NAACL,2000
A00-1028,Experiments With Corpus-Based LFG Specialization,NAACL,2000
A00-1029,A Tool For Automated Revision Of Grammars For NLP Systems,NAACL,2000
A00-1030,Aggressive Morphology For Robust Lexical Coverage,NAACL,2000
A00-1031,TnT - A Statistical Part-Of-Speech Tagger,NAACL,2000
A00-1032,Language Independent Morphological Analysis,NAACL,2000
A00-1033,A Divide-And-Conquer Strategy For Shallow Parsing Of German Free Texts,NAACL,2000
A00-1034,A Hybrid Approach For Named Entity And Sub-Type Tagging,NAACL,2000
A00-1035,Spelling And Grammar Correction For Danish In SCARRIE,NAACL,2000
A00-1036,Linguistic Knowledge Can Improve Information Retrieval,NAACL,2000
A00-1037,Domain-Specific Knowledge Acquisition From Text,NAACL,2000
A00-1038,Large-Scale Controlled Vocabulary Indexing For Named Entities,NAACL,2000
A00-1039,Unsupervised Discovery Of Scenario-Level Patterns For Information Extraction,NAACL,2000
A00-1040,Using Corpus-Derived Name Lists For Named Entity Recognition,NAACL,2000
A00-1041,Answer Extraction,NAACL,2000
A00-1042,Evaluation Of Automatically Identified Index Terms For Browsing Electronic Documents,NAACL,2000
A00-1043,Sentence Reduction For Automatic Text Summarization,NAACL,2000
A00-1044,Named Entity Extraction From Noisy Input: Speech And OCR,NAACL,2000
A00-1045,Improving Testsuites Via Instrumentation,NAACL,2000
A00-1046,The Efficiency Of Multimodal Interaction For A Map-Based Task,NAACL,2000
A00-2001,Modelling Grounding And Discourse Obligations Using Update Rules,NAACL,2000
A00-2002,The Automatic Translation Of Discourse Structures,NAACL,2000
A00-2003,A Probabilistic Genre-Independent Model Of Pronominalization,NAACL,2000
A00-2004,Advances In Domain Independent Linear Text Segmentation,NAACL,2000
A00-2005,Bagging And Boosting A Treebank Parser,NAACL,2000
A00-2006,Encoding Information On Adjectives In A Lexical-Semantic Net For Computational Applications,NAACL,2000
A00-2007,Noun Phrase Recognition By System Combination,NAACL,2000
A00-2008,The FrameNet Tagset For Frame-Semantic And Syntactic Coding Of Predicate-Argument Structure,NAACL,2000
A00-2009,A Simple Approach To Building Ensembles Of Naive Bayesian Classifiers For Word Sense Disambiguation,NAACL,2000
A00-2010,Generation In The Lambek Calculus Framework: An Approach With Semantic Proof Nets,NAACL,2000
A00-2011,Word-For-Word Glossing With Contextually Similar Words,NAACL,2000
A00-2012,Arabic Morphology Generation Using A Concatenative Strategy,NAACL,2000
A00-2013,Morphological Tagging: Data Vs. Dictionaries,NAACL,2000
A00-2014,The Effectiveness Of Corpus-Induced Dependency Grammars For Post-Processing Speech,NAACL,2000
A00-2015,Analyzing Dependencies Of Japanese Subordinate Clauses Based On Statistics Of Scope Embedding Preference,NAACL,2000
A00-2016,Rapid Parser Development: A Machine Learning Approach For Korean,NAACL,2000
A00-2017,A Classification Approach To Word Prediction,NAACL,2000
A00-2018,A Maximum-Entropy-Inspired Parser,NAACL,2000
A00-2019,An Unsupervised Method For Detecting Grammatical Errors,NAACL,2000
A00-2020,Detecting Errors Within A Corpus Using Anomaly Detection,NAACL,2000
A00-2021,Exploiting Auxiliary Distributions In Stochastic Unification-Based Grammars,NAACL,2000
A00-2022,Ambiguity Packing In Constraint-Based Parsing Practical Results,NAACL,2000
A00-2023,Forest-Based Statistical Sentence Generation,NAACL,2000
A00-2024,Cut And Paste Based Text Summarization,NAACL,2000
A00-2025,Minimizing Word Error Rate In Textual Summaries Of Spoken Language,NAACL,2000
A00-2026,Trainable Methods For Surface Natural Language Generation,NAACL,2000
A00-2027,Evaluating Automatic Dialogue Strategy Adaptation For A Spoken Dialogue System,NAACL,2000
A00-2028,Learning To Predict Problematic Situations In A Spoken Dialogue System: Experiments With How May I Help You?,NAACL,2000
A00-2029,Predicting Automatic Speech Recognition Performance Using Prosodic Cues,NAACL,2000
A00-2030,A Novel Use Of Statistical Parsing To Extract Information From Text,NAACL,2000
A00-2031,Assigning Function Tags To Parsed Text,NAACL,2000
A00-2032,Mostly-Unsupervised Statistical Segmentation Of Japanese: Applications To Kanji,NAACL,2000
A00-2033,Removing Left Recursion From Context-Free Grammars,NAACL,2000
A00-2034,Using Semantic Preferences To Identify Verbal Participation In Role Switching Alternations,NAACL,2000
A00-2035,Tagging Sentence Boundaries,NAACL,2000
A00-2036,Left-To-Right Parsing And Bilexical Context-Free Grammars,NAACL,2000
A00-2037,Acknowledgments In Human-Computer Interaction,NAACL,2000
A00-2038,A New Algorithm For The Alignment Of Phonetic Sequences,NAACL,2000
A00-2039,Finite-State Reduplication In One-Level Prosodic Morphology,NAACL,2000
A00-2040,A Finite State And Data-Oriented Method For Grapheme To Phoneme Conversion,NAACL,2000
A00-2041,A Framework For Robust Semantic Interpretation,NAACL,2000
A00-2042,Understanding Each Other,NAACL,2000
A00-2043,An Empirical Assessment Of Semantic Interpretation,NAACL,2000
A00-3001,Experimenting With The Interaction Between Aggregation And Text Structuring,NAACL,2000
A00-3002,Efficient Parsing Strategies For Syntactic Analysis Of Closed Captions,NAACL,2000
A00-3003,Generating Text With A Theorem Prover,NAACL,2000
