city_city_code,city_name,state,country,latitude,longitude
BAL,Baltimore,MD,USA,39.288,-76.617
PIT,Pittsburgh,PA,USA,40.437,-80.0
PHL,Philadelphia,PA,USA,39.95,-75.15
WAS,Washington,DC,USA,38.892,-77.017
NYC,New York,NY,USA,40.849,-73.867
ATL,Atlanta,GA,USA,33.763,-84.317
EWR,Newark,NJ,USA,40.737,-74.167
FRE,Frederick,MD,USA,39.415,-77.417
NAR,Newark,DE,USA,39.683,-75.75
SAN,San Diego,CA,USA,32.713,-117.15
LOS,Los Angeles,CA,USA,34.058,-118.25
HON,Honolulu,HI,USA,21.313,-157.85
SFO,San Francisco,CA,USA,37.775,-122.417
PVD,Providence,RI,USA,41.817,-71.4
BOS,Boston,MA,USA,42.362,-71.05
DET,Detroit,MI,USA,42.323,-83.167
CHI,Chicago,IL,USA,41.883,-87.617
ROC,Rochester,NY,USA,43.158,-77.6
DAL,Dallas,TX,USA,32.777,-96.8
HOU,Houston,TX,USA,29.834,-95.0
MIA,Miami,FL,USA,25.465,-80.15
CPK,College Park,MD,USA,38.987,-76.933
YYZ,Toronto,ON,CANADA,43.65,-79.333
DEL,Delhi,DE,INDIA,28.617,77.217
PEK,Beijing,BE,CHINA,39.917,116.417
HKG,Hong Kong,HK,CHINA,22.25,114.167
TYO,Tokyo,XX,JAPAN,35.7,139.767
LON,London,EN,UK,51.5,-0.167
PAR,Paris,XX,FRANCE,48.867,2.333
JNB,Johannesburg,XX,SAFRICA,-25.55,28.0
BKK,Bangkok,XX,THAILAND,13.733,100.5
