city1_code,city2_code,distance
BAL,ATL,576
BAL,BAL,0
BAL,BKK,9631
BAL,BOS,370
BAL,CHI,621
BAL,CPK,21
BAL,DAL,1217
BAL,DEL,7469
BAL,DET,408
BAL,EWR,169
BAL,FRE,35
BAL,HKG,8409
BAL,HON,4832
BAL,HOU,1240
BAL,JNB,7850
BAL,LON,3652
BAL,LOS,2329
BAL,MIA,946
BAL,NAR,71
BAL,NYC,185
BAL,PAR,3800
BAL,PEK,8041
BAL,PHL,105
BAL,PIT,210
BAL,PVD,328
BAL,ROC,277
BAL,SAN,2295
BAL,SFO,2457
BAL,TYO,6740
BAL,WAS,35
BAL,YYZ,347
ATL,BAL,576
ATL,PHL,665
BKK,BAL,9631
BOS,BAL,370
BOS,EWR,200
BOS,PAR,3448
BOS,PHL,280
CHI,BAL,621
CHI,PHL,678
CPK,BAL,21
DAL,BAL,1217
DEL,BAL,7469
DET,BAL,408
DET,EWR,488
DET,PHL,453
EWR,BAL,169
EWR,BOS,200
EWR,DET,488
EWR,LON,3458
EWR,LOS,2454
EWR,LOS,2454
EWR,PHL,89
EWR,SAN,2425
EWR,WAS,199
FRE,BAL,35
HKG,BAL,8409
HON,BAL,4832
HOU,BAL,1240
HOU,LOS,1385
HOU,PHL,1324
HOU,SAN,1270
HOU,SFO,1635
JNB,BAL,7850
LON,BAL,3652
LON,EWR,3458
LON,NYC,3452
LON,PHL,3546
LON,TYO,5975
LON,WAS,3650
LOS,BAL,2329
LOS,EWR,2454
LOS,EWR,2454
LOS,HOU,1385
LOS,PHL,2401
LOS,SAN,109
MIA,BAL,946
NAR,BAL,71
NYC,BAL,185
NYC,LON,3452
PAR,BAL,3800
PAR,BOS,3448
PEK,BAL,8041
PHL,ATL,665
PHL,BAL,105
PHL,BOS,280
PHL,CHI,678
PHL,DET,453
PHL,EWR,89
PHL,HOU,1324
PHL,LON,3546
PHL,LOS,2401
PHL,PIT,267
PHL,SAN,2369
PHL,SFO,2521
PHL,WAS,119
PIT,BAL,210
PIT,PHL,267
PIT,SAN,2106
PVD,BAL,328
ROC,BAL,277
ROC,WAS,296
SAN,BAL,2295
SAN,EWR,2425
SAN,HOU,1270
SAN,LOS,109
SAN,PHL,2369
SAN,PIT,2106
SFO,BAL,2457
SFO,HOU,1635
SFO,PHL,2521
TYO,BAL,6740
TYO,LON,5975
WAS,BAL,35
WAS,EWR,199
WAS,LON,3650
WAS,PHL,119
WAS,ROC,296
YYZ,BAL,347
