meetings_meeting_id,meetings_client_id,meeting_outcome,meeting_type,billable_yn,start_date_time,end_date_time,purpose_of_meeting,other_details
1,15,Report,Team,0,2018-03-06 05:07:33,2018-03-21 09:26:41,get proposal done,0
2,3,Summary,Group,0,2018-03-16 02:24:10,2018-03-21 17:57:59,vote for solutions,0
3,4,Summary,Team,1,2018-03-06 21:02:06,2018-03-01 05:10:01,get proposal done,0
4,5,Vote results,Company,1,2018-03-10 05:03:46,2018-02-25 23:20:12,weekly report,0
5,14,Summary,Company,1,2018-02-26 18:35:24,2018-03-12 18:48:55,weekly report,0
6,8,Vote results,Team,0,2018-03-20 08:56:47,2018-02-24 22:36:35,weekly report,absent staff
7,13,Vote results,Group,1,2018-03-01 22:20:09,2018-03-21 04:24:57,vote for solutions,0
8,8,Report,Company,0,2018-03-16 06:38:16,2018-03-20 12:24:04,weekly report,0
9,4,Report,Group,1,2018-03-18 15:35:54,2018-03-05 13:33:21,weekly report,0
10,7,Summary,Team,0,2018-02-27 07:43:53,2018-02-27 02:40:21,vote for solutions,0
11,6,Summary,Team,1,2018-03-21 19:18:39,2018-03-17 15:38:01,get proposal done,0
12,10,Summary,Company,0,2018-03-17 09:56:49,2018-03-03 21:51:07,monthly report,absent staff
13,2,Report,Team,1,2018-02-28 15:39:03,2018-03-17 13:09:45,weekly report,0
14,2,Vote results,Group,1,2018-03-02 19:04:27,2018-03-15 04:21:40,weekly report,0
15,2,Vote results,Company,0,2018-02-25 07:06:48,2018-02-25 09:39:29,weekly report,
