original_column_name,data_format,primary_key,foreign_key,ret_pks,ret_fks
appearances_year,integer,,"[FOREIGN KEY: ""appearances_team_id"" REFERENCES ""team.team_team_id"" (table_name.column_name)., FOREIGN KEY: ""appearances_player_id"" REFERENCES ""player.player_player_id"" (table_name.column_name).]",[],"[{'appearances_team_id': 'team.team_team_id'}, {'appearances_player_id': 'player.player_player_id'}]"
appearances_team_id,text,,,,
appearances_league_id,text,,,,
appearances_player_id,text,,,,
g_all,double,,,,
appearances_gs,double,,,,
g_batting,integer,,,,
g_defense,double,,,,
g_p,integer,,,,
g_c,integer,,,,
g_1b,integer,,,,
g_2b,integer,,,,
g_3b,integer,,,,
g_ss,integer,,,,
g_lf,integer,,,,
g_cf,integer,,,,
g_rf,integer,,,,
g_of,integer,,,,
g_dh,double,,,,
g_ph,double,,,,
g_pr,double,,,,
