original_column_name,data_format,primary_key,foreign_key,ret_pks,ret_fks
batting_postseason_year,integer,,"[FOREIGN KEY: ""batting_postseason_player_id"" REFERENCES ""player.player_player_id"" (table_name.column_name)., FOREIGN KEY: ""batting_postseason_team_id"" REFERENCES ""team.team_team_id"" (table_name.column_name).]",[],"[{'batting_postseason_player_id': 'player.player_player_id'}, {'batting_postseason_team_id': 'team.team_team_id'}]"
batting_postseason_round,text,,,,
batting_postseason_player_id,text,,,,
batting_postseason_team_id,text,,,,
batting_postseason_league_id,text,,,,
batting_postseason_g,integer,,,,
batting_postseason_ab,integer,,,,
batting_postseason_r,integer,,,,
batting_postseason_h,integer,,,,
batting_postseason_double,integer,,,,
batting_postseason_triple,integer,,,,
batting_postseason_hr,integer,,,,
batting_postseason_rbi,integer,,,,
batting_postseason_sb,integer,,,,
batting_postseason_cs,double,,,,
batting_postseason_bb,integer,,,,
batting_postseason_so,integer,,,,
batting_postseason_ibb,double,,,,
batting_postseason_hbp,double,,,,
batting_postseason_sh,double,,,,
batting_postseason_sf,double,,,,
batting_postseason_g_idp,double,,,,
