original_column_name,data_format,primary_key,foreign_key,ret_pks,ret_fks
fielding_player_id,text,,"[FOREIGN KEY: ""fielding_player_id"" REFERENCES ""player.player_player_id"" (table_name.column_name).]",[],[{'fielding_player_id': 'player.player_player_id'}]
fielding_year,integer,,,,
fielding_stint,integer,,,,
fielding_team_id,text,,,,
fielding_league_id,text,,,,
fielding_pos,text,,,,
fielding_g,integer,,,,
fielding_gs,double,,,,
fielding_inn_outs,double,,,,
fielding_po,double,,,,
fielding_a,double,,,,
fielding_e,double,,,,
fielding_dp,double,,,,
fielding_pb,double,,,,
fielding_wp,double,,,,
fielding_sb,double,,,,
fielding_cs,double,,,,
zr,double,,,,
