original_column_name,data_format,primary_key,foreign_key,ret_pks,ret_fks
pitching_player_id,text,,[],[],[]
pitching_year,integer,,,,
pitching_stint,integer,,,,
pitching_team_id,text,,,,
pitching_league_id,text,,,,
pitching_w,integer,,,,
pitching_l,integer,,,,
pitching_g,integer,,,,
pitching_gs,integer,,,,
pitching_cg,integer,,,,
pitching_sho,integer,,,,
pitching_sv,integer,,,,
pitching_ipouts,double,,,,
pitching_h,integer,,,,
pitching_er,integer,,,,
pitching_hr,integer,,,,
pitching_bb,integer,,,,
pitching_so,integer,,,,
pitching_baopp,double,,,,
pitching_era,double,,,,
pitching_ibb,double,,,,
pitching_wp,double,,,,
pitching_hbp,double,,,,
pitching_bk,integer,,,,
pitching_bfp,double,,,,
pitching_gf,double,,,,
pitching_r,integer,,,,
pitching_sh,double,,,,
pitching_sf,double,,,,
pitching_g_idp,double,,,,
