original_column_name,data_format,primary_key,foreign_key,ret_pks,ret_fks
pitching_postseason_player_id,text,,[],[],[]
pitching_postseason_year,integer,,,,
pitching_postseason_round,text,,,,
pitching_postseason_team_id,text,,,,
pitching_postseason_league_id,text,,,,
pitching_postseason_w,integer,,,,
pitching_postseason_l,integer,,,,
pitching_postseason_g,integer,,,,
pitching_postseason_gs,integer,,,,
pitching_postseason_cg,integer,,,,
pitching_postseason_sho,integer,,,,
pitching_postseason_sv,integer,,,,
pitching_postseason_ipouts,integer,,,,
pitching_postseason_h,integer,,,,
pitching_postseason_er,integer,,,,
pitching_postseason_hr,integer,,,,
pitching_postseason_bb,integer,,,,
pitching_postseason_so,integer,,,,
pitching_postseason_baopp,text,,,,
pitching_postseason_era,double,,,,
pitching_postseason_ibb,double,,,,
pitching_postseason_wp,double,,,,
pitching_postseason_hbp,double,,,,
pitching_postseason_bk,double,,,,
pitching_postseason_bfp,double,,,,
pitching_postseason_gf,integer,,,,
pitching_postseason_r,integer,,,,
pitching_postseason_sh,double,,,,
pitching_postseason_sf,double,,,,
pitching_postseason_g_idp,double,,,,
