original_column_name,data_format,primary_key,foreign_key,ret_pks,ret_fks
player_player_id,text,,[],[],[]
birth_year,double,,,,
birth_month,double,,,,
birth_day,double,,,,
birth_country,text,,,,
birth_state,text,,,,
birth_city,text,,,,
death_year,double,,,,
death_month,double,,,,
death_day,double,,,,
death_country,text,,,,
death_state,text,,,,
death_city,text,,,,
name_first,text,,,,
name_last,text,,,,
name_given,text,,,,
weight,double,,,,
height,double,,,,
bats,text,,,,
throws,text,,,,
debut,text,,,,
final_game,text,,,,
retro_id,text,,,,
bbref_id,text,,,,
