original_column_name,data_format,primary_key,foreign_key,ret_pks,ret_fks
team_year,integer,,[],[],[]
team_league_id,text,,,,
team_team_id,text,,,,
team_franchise_id,text,,,,
team_div_id,text,,,,
team_rank,integer,,,,
team_g,integer,,,,
ghome,double,,,,
team_w,integer,,,,
team_l,integer,,,,
team_div_win,text,,,,
wc_win,text,,,,
lg_win,text,,,,
ws_win,text,,,,
team_r,integer,,,,
team_ab,integer,,,,
team_h,integer,,,,
team_double,integer,,,,
team_triple,integer,,,,
team_hr,integer,,,,
team_bb,integer,,,,
team_so,double,,,,
team_sb,double,,,,
team_cs,double,,,,
team_hbp,double,,,,
team_sf,double,,,,
ra,integer,,,,
team_er,integer,,,,
team_era,double,,,,
team_cg,integer,,,,
team_sho,integer,,,,
team_sv,integer,,,,
team_ipouts,integer,,,,
ha,integer,,,,
hra,integer,,,,
bba,integer,,,,
soa,integer,,,,
team_e,integer,,,,
team_dp,double,,,,
fp,double,,,,
name,text,,,,
park,text,,,,
team_attendance,double,,,,
bpf,integer,,,,
ppf,integer,,,,
team_id_br,text,,,,
team_id_lahman45,text,,,,
team_id_retro,text,,,,
