original_column_name,data_format,primary_key,foreign_key,ret_pks,ret_fks
date,text,,[],[],[]
max_temperature_f,integer,,,,
mean_temperature_f,integer,,,,
min_temperature_f,integer,,,,
max_dew_point_f,integer,,,,
mean_dew_point_f,integer,,,,
min_dew_point_f,integer,,,,
max_humidity,integer,,,,
mean_humidity,integer,,,,
min_humidity,integer,,,,
max_sea_level_pressure_inches,double,,,,
mean_sea_level_pressure_inches,double,,,,
min_sea_level_pressure_inches,double,,,,
max_visibility_miles,integer,,,,
mean_visibility_miles,integer,,,,
min_visibility_miles,integer,,,,
max_wind_speed_mph,integer,,,,
mean_wind_speed_mph,integer,,,,
max_gust_speed_mph,integer,,,,
precipitation_inches,integer,,,,
cloud_cover,integer,,,,
events,text,,,,
wind_dir_degrees,integer,,,,
weather_zip_code,integer,,,,
