driver_driver_id,driver_name,entrant,constructor,chassis,engine,age
1,Ernst-Günther Burggaller,German Bugatti Team,Bugatti,Bugatti T35B,2.3 L8,18
2,Hermann zu Leiningen,German Bugatti Team,Bugatti,Bugatti T35C,2.0 L8,20
3,Heinrich-Joachim von Morgen,German Bugatti Team,Bugatti,Bugatti T35B,2.3 L8,23
4,Rudolf Caracciola,Private entry,Mercedes-Benz,Mercedes-Benz SSK L,7.1 L6,24
5,Earl Howe,Private entry,Bugatti,Bugatti T51,2.3 L8,26
6,Clifton Penn-Hughes,Private entry,Bugatti,Bugatti T35,2.0 L8,21
7,Henry Birkin,Private entry,Maserati,Maserati 26M,2.5 L8,28
8,Bernhard Ackerl,Private entry,Bugatti,Bugatti T37,1.5 L4,29
9,Juan Zanelli,Private entry,Bugatti,Bugatti T35B,2.3 L8,26
10,Guy Bouriat,Automobiles Ettore Bugatti,Bugatti,Bugatti T51,2.3 L8,28
11,Louis Chiron,Automobiles Ettore Bugatti,Bugatti,Bugatti T51,2.3 L8,35
