staff_in_processes_document_id,staff_in_processes_process_id,staff_in_processes_staff_id,staff_in_processes_staff_role_code,date_from,date_to,staff_in_processes_other_details
0,9,3,MG,1989-02-06 18:30:52,2001-08-10 20:58:06,
0,9,67,ED,2015-01-01 06:43:57,1982-01-11 19:27:20,
4,9,3,HR,1979-10-19 18:36:39,1993-12-13 11:55:33,
7,9,100,PT,1988-06-20 01:13:16,2000-06-15 03:03:57,
24,9,26,PR,1973-02-04 06:53:33,2005-10-19 08:53:29,
462,9,26,ED,1988-08-05 21:55:02,1995-03-09 06:54:14,
462,9,76,ED,2009-08-07 08:26:16,1973-09-18 07:39:56,
927,9,3,ED,1998-09-05 17:52:04,2014-05-24 01:12:43,
435463,9,52,PT,1972-04-24 05:45:56,1974-08-02 01:37:15,
461893,9,67,HR,2000-06-10 21:41:38,2007-02-12 17:11:51,
461893,9,93,MG,2010-05-08 11:30:36,1973-02-25 01:08:20,
782065904,9,52,ED,2007-07-21 13:51:39,1970-03-14 11:36:29,
782065904,9,66,MG,1983-04-04 06:50:24,1996-03-15 15:12:08,
