achievement_id,achievements_achievement_type_code,achievements_student_id,date_achievement,achievement_details,achievements_other_details
153,Athletic,777,2013,Gold,
159,Athletic,415,2013,Gold,
262,Scholastic,415,2014,Gold,
264,Scholastic,471,2014,Silver,
316,Scholastic,648,2014,Gold,
340,Scholastic,276,2014,Bronze,
450,Athletic,669,2014,Bronze,
602,Scholastic,824,2014,Silver,
650,Athletic,777,2014,Silver,
672,Athletic,984,2014,Gold,
697,Scholastic,762,2014,Gold,
702,Scholastic,325,2014,Gold,
717,Athletic,567,2015,Silver,
722,Athletic,777,2015,Silver,
753,Scholastic,325,2015,Silver,
770,Athletic,287,2015,Silver,
877,Athletic,471,2015,Gold,
885,Scholastic,811,2015,Gold,
933,Athletic,648,2015,Gold,
964,Scholastic,811,2016,Gold,
