student_address_id,students_addresses_address_id,students_addresses_address_type_code,students_addresses_student_id,date_from,date_to
11,94,HM,984,2011-06-29 09:45:39.000,2018-03-22 07:50:48.000
15,76,HM,415,2011-10-04 09:58:41.000,2018-03-14 18:32:37.000
20,97,CO,777,2015-02-01 00:20:42.000,2018-03-04 09:58:38.000
23,72,CO,361,2015-03-14 15:55:46.000,2018-03-08 08:41:07.000
33,97,HM,762,2017-05-18 23:15:01.000,2018-03-20 08:06:53.000
35,98,HM,762,2009-04-27 17:42:38.000,2018-02-28 07:36:43.000
45,90,HM,777,2014-03-28 08:03:34.000,2018-03-11 19:21:54.000
56,94,HM,777,2009-08-24 22:57:30.000,2018-03-10 09:05:12.000
59,98,HM,777,2013-05-27 16:51:49.000,2018-02-27 11:03:50.000
67,0,HM,361,2011-04-29 03:20:26.000,2018-03-02 04:33:35.000
73,34,CO,471,2008-04-20 04:24:19.000,2018-03-18 22:15:17.000
80,85,HM,471,2009-02-23 20:33:05.000,2018-03-06 22:42:42.000
84,76,HM,415,2008-09-21 02:28:34.000,2018-03-03 17:46:12.000
91,66,HM,276,2012-12-17 20:22:50.000,2018-03-22 10:12:26.000
92,97,HM,361,2009-06-21 04:28:15.000,2018-03-04 23:55:53.000
