addresses_address_id,address_details
1,"2632 Ofelia Stream Apt. 537
Rueckerborough, NV 78430-4096"
2,"481 Tyrique Junction
West Kali, UT 16070-1379"
3,"4363 Otilia Hill
Landenshire, ND 45637"
4,"1734 Klocko Views Suite 840
Schusterfort, WY 34067-3366"
5,"001 Eliza Ferry Suite 929
Schillerfurt, WI 60335-2125"
6,"8013 O'Keefe Harbors
New Baronview, AR 57984"
7,"50445 Gerhold Springs
Jaleelstad, IL 16333-3222"
8,"13460 Rylee Green
South Domenicamouth, NM 36408-2902"
9,"59479 Eladio Cliff
Wymanside, PA 69696-5826"
10,"4959 Dixie Oval
North Timothyberg, OK 88659"
11,"80770 Borer Square
Lillianaborough, NE 46012-9033"
12,"83114 Vanessa Mountains Suite 788
North Kara, CA 25470-9357"
13,"078 Jameson Avenue
Cyrusberg, MN 88459-2009"
14,"0335 Ferne Dale
East Lura, AZ 62151-8685"
15,"140 Norene Ford
Port Buddymouth, MA 08157-7414"
