customer_orders_order_id,customer_orders_customer_id,order_date,order_status_code
1,12,2016-05-14 22:08:41,Part
2,3,1991-02-26 11:32:39,Part
3,3,2000-06-26 05:17:11,Part
4,1,1987-06-28 09:12:32,Completed
5,15,1994-12-17 22:49:09,Completed
6,13,1978-09-08 23:31:23,Part
7,15,2009-11-20 18:18:29,Completed
8,9,1994-02-07 07:27:57,Part
9,5,2007-11-23 04:32:19,Completed
10,14,1986-01-30 15:27:58,Part
11,8,2005-11-10 16:19:29,Part
12,13,2016-03-01 07:51:02,Part
13,4,2016-02-19 18:07:06,Completed
14,12,2013-08-10 03:01:33,Completed
15,14,1993-11-03 13:47:02,Part
