products_product_id,product_type_code,product_name,product_price
1,Hardware,Monitor,2084.944172129
2,Clothes,Topping,26045678.098468
3,Clothes,Black Jeans,7312007.4430563
4,Clothes,Blue Jeans,473.92262166875
5,Clothes,Yellow Jeans,34529451.515631
6,Clothes,Gray Jeans,6897489.4162472
7,Hardware,Mouse,196066792.36835
8,Clothes,White Topping,705.9133468689
9,Hardware,Keyboard,495.99319506948
10,Hardware,Drive,37993003.400391
11,Clothes,Purple Topping,7194641.5117043
12,Clothes,Black Topping,201509245.10256
13,Clothes,Yellow Topping,840.34678227843
14,Hardware,DVD,870.50471411809
15,Clothes,Blue Topping,2825.6814780336
