original_column_name,data_format,primary_key,foreign_key,ret_pks,ret_fks
resultid,integer,,"[FOREIGN KEY: ""results_constructorid"" REFERENCES ""constructors.constructors_constructorid"" (table_name.column_name)., FOREIGN KEY: ""results_raceid"" REFERENCES ""races.races_raceid"" (table_name.column_name)., FOREIGN KEY: ""results_driverid"" REFERENCES ""drivers.drivers_driverid"" (table_name.column_name).]",[],"[{'results_constructorid': 'constructors.constructors_constructorid'}, {'results_raceid': 'races.races_raceid'}, {'results_driverid': 'drivers.drivers_driverid'}]"
results_raceid,integer,,,,
results_driverid,integer,,,,
results_constructorid,integer,,,,
results_number,integer,,,,
grid,integer,,,,
results_position,text,,,,
results_positiontext,text,,,,
positionorder,integer,,,,
results_points,double,,,,
laps,text,,,,
results_time,text,,,,
results_milliseconds,text,,,,
fastestlap,text,,,,
rank,text,,,,
fastestlaptime,text,,,,
fastestlapspeed,text,,,,
results_statusid,integer,,,,
