customers_and_services_customers_and_services_id,customers_and_services_customer_id,customers_and_services_service_id,customers_and_services_details
123,12,313,Satisfied
130,12,620,Satisfied
203,93,828,Satisfied
228,286,430,Satisfied
350,113,313,Satisfied
420,113,575,Satisfied
428,103,575,Unsatisfied
465,217,457,Unsatisfied
475,78,575,Unsatisfied
606,256,828,Unsatisfied
669,293,457,Unsatisfied
677,103,313,Unsatisfied
680,113,430,Satisfied
683,119,828,Unsatisfied
759,93,620,Satisfied
766,103,620,Unsatisfied
795,173,606,Satisfied
823,286,575,Unsatisfied
972,212,430,Unsatisfied
983,98,620,Satisfied
