original_column_name,data_format,primary_key,foreign_key,ret_pks,ret_fks
properties_property_id,integer,,"[FOREIGN KEY: ""properties_property_type_code"" REFERENCES ""ref_property_types.ref_property_types_property_type_code"" (table_name.column_name).]",[],[{'properties_property_type_code': 'ref_property_types.ref_property_types_property_type_code'}]
properties_property_type_code,text,,,,
date_on_market,date,,,,
date_sold,date,,,,
property_name,text,,,,
property_address,text,,,,
room_count,integer,,,,
vendor_requested_price,text,,,,
buyer_offered_price,text,,,,
agreed_selling_price,text,,,,
apt_feature_1,text,,,,
apt_feature_2,text,,,,
apt_feature_3,text,,,,
fld_feature_1,text,,,,
fld_feature_2,text,,,,
fld_feature_3,text,,,,
hse_feature_1,text,,,,
hse_feature_2,text,,,,
hse_feature_3,text,,,,
oth_feature_1,text,,,,
oth_feature_2,text,,,,
oth_feature_3,text,,,,
shp_feature_1,text,,,,
shp_feature_2,text,,,,
shp_feature_3,text,,,,
other_property_details,text,,,,
