properties_property_id,property_address_id,owner_user_id,properties_property_type_code,date_on_market,date_off_market,property_name,property_description,garage_yn,parking_lots,room_count,vendor_requested_price,price_min,price_max,other_property_details
1,9,13,7,2015-06-16 01:43:42,1978-11-17 22:49:30,garden,dolores,1,,7,2454.682,20835877.439261,352563032.06431,
2,8,5,8,2014-10-10 10:17:36,2006-09-25 06:39:14,studio,quis,,1,8,409217.49906266,498.39,55837.914362,
3,7,10,2,2011-12-15 01:52:28,2017-05-27 20:55:25,garden,facere,1,1,9,60571695.39357,3897.55448,1887.0,
4,12,7,7,1971-01-17 04:08:35,1971-08-25 01:13:02,studio,ut,,1,4,3.009911,208147.904976,227.624634182,
5,4,9,8,1996-12-17 20:53:52,2000-03-16 23:04:27,garden,perspiciatis,1,1,1,47605468.125659,335.875884731,0.0,
6,14,6,7,1989-04-04 17:34:41,1981-08-03 12:46:34,studio,dolorum,1,,1,46382985.88415,0.0866,0.0,
7,2,4,8,2000-09-08 06:54:00,2002-10-13 04:52:26,park,earum,1,1,8,428517.1,22130.13,0.0,
8,15,13,7,2010-09-27 19:19:44,1998-08-19 19:29:50,studio,ad,1,,3,3076499.25,0.0,7.4,
9,8,10,2,2002-01-06 18:44:23,1978-09-24 13:42:49,park,magni,,,7,19.917482,407995518.00153,194724.15425105,
10,14,2,7,1996-10-13 18:04:10,1981-02-04 02:00:30,park,libero,,,8,0.15837612,2855.0,2734817.1574795,
11,5,10,2,1976-08-01 00:52:48,1970-11-22 02:09:50,house,dolorem,1,,9,294154.455,18123757.317,471.9874856,
12,9,3,7,1985-09-03 23:35:59,2011-11-28 01:18:51,house,eum,,1,7,551.53493622,24001489.487911,1.0,
13,2,9,2,2010-06-02 05:49:21,1990-01-25 07:42:34,garage,perspiciatis,1,1,9,1222.603328,6628.9,0.0,
14,13,6,7,2001-04-15 21:14:41,1981-09-12 05:26:47,garage,vel,,1,8,1435608.608,1.3248,40172.49,
15,15,9,2,1992-09-12 03:18:04,1992-06-20 14:37:39,garage,expedita,1,1,8,0.0,14323.3095,94621091.987512,
