songs_id,language,original_artist,songs_name,english_translation
1,"English , Russian",Sasha Son, Love ,—
2,"English , Hebrew , Arabic",Noa and Mira Awad, There Must Be Another Way ,—
3,French,Patricia Kaas, Et s\'il fallait le faire ,And if it had to be done
4,"French , English",Malena Ernman, La voix ,The voice
5,Croatian,Igor Cukrov feat. Andrea, Lijepa Tena ,Beautiful Tena
6,Portuguese,Flor-de-Lis, Todas as ruas do amor ,All the streets of love
7,English,Yohanna, Is It True? ,—
8,English,Sakis Rouvas, This Is Our Night ,—
9,"English , Armenian",Inga and Anush, Jan Jan ,My dear
10,"Russian , Ukrainian",Anastasiya Prikhodko, Mamo (Мамо),Mum
11,English,AySel and Arash, Always ,—
12,Bosnian,Regina, Bistra voda ,Clear water
13,"Romanian , English",Nelly Ciobanu, Hora din Moldova ,Dance from Moldova
14,English,Chiara, What If We ,—
15,Estonian,Urban Symphony, Rändajad ,Nomads
16,English,Niels Brinck, Believe Again ,—
17,English,Alex Swings Oscar Sings!, Miss Kiss Kiss Bang ,—
18,English,Hadise, Düm Tek Tek ,— [A]
19,English,Kejsi Tola, Carry Me in Your Dreams ,—
20,English,Alexander Rybak, Fairytale ,—
21,English,Svetlana Loboda, Be My Valentine ,—
22,English,Elena, The Balkan Girls ,—
23,English,Jade Ewen, It is My Time ,—
24,English,Waldo\'s People, Lose Control ,—
25,"Spanish , English",Soraya Arnelas, La noche es para mi ,The night is for me
