original_column_name,data_format,primary_key,foreign_key,ret_pks,ret_fks
player_attributes_id,integer,,"[FOREIGN KEY: ""player_attributes_player_fifa_api_id"" REFERENCES ""player.player_player_fifa_api_id"" (table_name.column_name)., FOREIGN KEY: ""player_attributes_player_api_id"" REFERENCES ""player.player_player_api_id"" (table_name.column_name).]",[],"[{'player_attributes_player_fifa_api_id': 'player.player_player_fifa_api_id'}, {'player_attributes_player_api_id': 'player.player_player_api_id'}]"
player_attributes_player_fifa_api_id,integer,,,,
player_attributes_player_api_id,integer,,,,
player_attributes_date,text,,,,
overall_rating,integer,,,,
potential,integer,,,,
preferred_foot,text,,,,
attacking_work_rate,text,,,,
defensive_work_rate,text,,,,
crossing,integer,,,,
finishing,integer,,,,
heading_accuracy,integer,,,,
short_passing,integer,,,,
volleys,integer,,,,
dribbling,integer,,,,
curve,integer,,,,
free_kick_accuracy,integer,,,,
long_passing,integer,,,,
ball_control,integer,,,,
acceleration,integer,,,,
sprint_speed,integer,,,,
agility,integer,,,,
reactions,integer,,,,
balance,integer,,,,
shot_power,integer,,,,
jumping,integer,,,,
stamina,integer,,,,
strength,integer,,,,
long_shots,integer,,,,
aggression,integer,,,,
interceptions,integer,,,,
positioning,integer,,,,
vision,integer,,,,
penalties,integer,,,,
marking,integer,,,,
standing_tackle,integer,,,,
sliding_tackle,integer,,,,
gk_diving,integer,,,,
gk_handling,integer,,,,
gk_kicking,integer,,,,
gk_positioning,integer,,,,
gk_reflexes,integer,,,,
