original_column_name,data_format,primary_key,foreign_key,ret_pks,ret_fks
team_attributes_id,integer,,"[FOREIGN KEY: ""team_attributes_team_fifa_api_id"" REFERENCES ""team.team_team_fifa_api_id"" (table_name.column_name)., FOREIGN KEY: ""team_attributes_team_api_id"" REFERENCES ""team.team_team_api_id"" (table_name.column_name).]",[],"[{'team_attributes_team_fifa_api_id': 'team.team_team_fifa_api_id'}, {'team_attributes_team_api_id': 'team.team_team_api_id'}]"
team_attributes_team_fifa_api_id,integer,,,,
team_attributes_team_api_id,integer,,,,
team_attributes_date,text,,,,
buildupplayspeed,integer,,,,
buildupplayspeedclass,text,,,,
buildupplaydribbling,integer,,,,
buildupplaydribblingclass,text,,,,
buildupplaypassing,integer,,,,
buildupplaypassingclass,text,,,,
buildupplaypositioningclass,text,,,,
chancecreationpassing,integer,,,,
chancecreationpassingclass,text,,,,
chancecreationcrossing,integer,,,,
chancecreationcrossingclass,text,,,,
chancecreationshooting,integer,,,,
chancecreationshootingclass,text,,,,
chancecreationpositioningclass,text,,,,
defencepressure,integer,,,,
defencepressureclass,text,,,,
defenceaggression,integer,,,,
defenceaggressionclass,text,,,,
defenceteamwidth,integer,,,,
defenceteamwidthclass,text,,,,
defencedefenderlineclass,text,,,,
