original_column_name,data_format,primary_key,foreign_key,ret_pks,ret_fks
best_of,integer,,"[FOREIGN KEY: ""loser_id"" REFERENCES ""players.players_player_id"" (table_name.column_name)., FOREIGN KEY: ""winner_id"" REFERENCES ""players.players_player_id"" (table_name.column_name).]",[],"[{'loser_id': 'players.players_player_id'}, {'winner_id': 'players.players_player_id'}]"
draw_size,integer,,,,
loser_age,double,,,,
loser_entry,text,,,,
loser_hand,text,,,,
loser_ht,integer,,,,
loser_id,integer,,,,
loser_ioc,text,,,,
loser_name,text,,,,
loser_rank,integer,,,,
loser_rank_points,integer,,,,
loser_seed,integer,,,,
match_num,integer,,,,
minutes,integer,,,,
round,text,,,,
score,text,,,,
surface,text,,,,
tourney_date,integer,,,,
tourney_id,text,,,,
tourney_level,text,,,,
tourney_name,text,,,,
winner_age,double,,,,
winner_entry,text,,,,
winner_hand,text,,,,
winner_ht,integer,,,,
winner_id,integer,,,,
winner_ioc,text,,,,
winner_name,text,,,,
winner_rank,integer,,,,
winner_rank_points,integer,,,,
winner_seed,integer,,,,
year,integer,,,,
